Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"IG","Government Expenditure","024","Angola","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","million USD","69794.05","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","million USD","36605.43","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","million USD","32870.63","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","million USD","41011.56","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","million USD","35979.39","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","million USD","28030.78","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23130","Total Expenditure (General Government)","2020","2020","million USD","23139.97","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23130","Total Expenditure (General Government)","2021","2021","million USD","22847.33","consolidated General Government"
"IG","Government Expenditure","024","Angola","6110","Value US$","23130","Total Expenditure (General Government)","2022","2022","million USD","35680.78","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","million USD","85106.55","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","million USD","26119.26","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","million USD","33443.43","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","million USD","38806.47","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","million USD","51675.17","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","million USD","61622.69","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","million USD","83340.85","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","million USD","109987.56","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","million USD","115768.9","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","million USD","141298.59","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","million USD","191995.67","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","million USD","215543.34","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","million USD","234901.29","consolidated General Government"
"IG","Government Expenditure","032","Argentina","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","million USD","217536.09","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","million USD","728.28","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","million USD","1040.67","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","million USD","1357.59","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","million USD","2162.03","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","million USD","2852.66","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","million USD","2608.41","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","million USD","2611.61","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","million USD","2720.74","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","million USD","2581.46","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","million USD","2857.67","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","million USD","3050.48","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","million USD","3021.38","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","million USD","3091.13","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","million USD","3193.61","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","million USD","3065.83","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","million USD","3470.3","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2020","2020","million USD","3936.33","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2021","2021","million USD","4093.02","consolidated General Government"
"IG","Government Expenditure","051","Armenia","6110","Value US$","23130","Total Expenditure (General Government)","2022","2022","million USD","5330.6","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","million USD","128754.28","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","million USD","142844.92","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","million USD","178063.09","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","million USD","217201.29","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","million USD","240604.37","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","million USD","251318.28","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","million USD","301412.68","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","million USD","324443.07","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","million USD","343863.55","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","million USD","421975.87","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","million USD","502346.04","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","million USD","541586.71","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","million USD","539315.27","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","million USD","528060.56","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","million USD","453383.98","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","million USD","462142.83","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","million USD","496613.14","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","million USD","507169.64","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","million USD","499249.03","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2020","2020","million USD","573533.5","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2021","2021","million USD","691795.54","consolidated General Government"
"IG","Government Expenditure","036","Australia","6110","Value US$","23130","Total Expenditure (General Government)","2022","2022","million USD","637205.83","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","million USD","100475.29","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","million USD","107967.57","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","million USD","132993.89","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","million USD","160236.84","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","million USD","160399.23","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","million USD","167879.49","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","million USD","189833.47","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","million USD","212946.81","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","million USD","214531.77","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","million USD","205500.04","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","million USD","217742.57","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","million USD","209487.54","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","million USD","221923.13","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","million USD","231469.49","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","million USD","194930.6","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","million USD","197831.17","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","million USD","205500.39","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","million USD","221583.51","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","million USD","216207.65","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2020","2020","million USD","247039.33","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2021","2021","million USD","269209.99","consolidated General Government"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2022","2022","million USD","249972.96","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","million USD","14648.14","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","million USD","14875.15","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","million USD","16697.19","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","million USD","21613.62","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","million USD","24905.77","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","million USD","26788.27","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","million USD","26775.25","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","million USD","19729.27","consolidated General Government"
"IG","Government Expenditure","031","Azerbaijan","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","million USD","12422.05","consolidated General Government"
