"country","year","diet_energy_supply","gdp_per_capita","political_stability","food_supply_variability","safe_water_access","basic_water_access","basic_sanitation_access","percentage_of_children_under_5_years_of_age_who_are_stunted_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_stunted_modeled_estimates_million","percentage_of_children_under_5_years_of_age_who_are_overweight_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_overweight_modeled_estimates_million","prevalence_of_obesity_in_the_adult_population_18_years_and_older_percent","number_of_obese_adults_18_years_and_older_million","prevalence_of_anemia_among_women_of_reproductive_age_1549_years_percent","number_of_women_of_reproductive_age_1549_years_affected_by_anemia_million","minimum_dietary_energy_requirement_kcalcapday","average_dietary_energy_requirement_kcalcapday","coefficient_of_variation_of_habitual_caloric_consumption_distribution_real_number","incidence_of_caloric_losses_at_retail_distribution_level_percent","percentage_of_population_using_safely_managed_sanitation_services_percent","prevalence_of_low_birthweight_percent","number_of_newborns_with_low_birthweight_million"
"Bolivia (Plurinational State of)",2022,2331,9565.3,-0.28,22,NA,94,69,11.1,0.1,9,0.1,28.7,2.2,NA,NA,1767,2280,0.29,2.97,NA,NA,NA
"Bosnia and Herzegovina",2017,3294,15707.1,-0.35,72,89,96,95,8.4,0.1,12.6,0.1,19.1,0.5,23.9,0.2,1933,2508,0.21,2.34,51,5.2,0.1
"Bosnia and Herzegovina",2018,3325,16499.7,-0.4,53,89,96,95,8.4,0.1,11.6,0.1,19.5,0.5,24.1,0.2,1930,2505,0.21,2.51,55,5.1,0.1
"Bosnia and Herzegovina",2019,3341,17175.2,-0.42,30,89,96,NA,8.3,0.1,10.7,0.1,19.9,0.5,24.4,0.2,1928,2502,0.21,2.43,NA,5.1,0.1
"Bosnia and Herzegovina",2020,3371,16869.7,-0.45,19,88,96,NA,8.2,0.1,10.1,0.1,20.3,0.6,NA,NA,1928,2502,0.22,2.57,NA,5.2,0.1
"Bosnia and Herzegovina",2021,3353,18379.6,-0.42,19,88,96,NA,8.1,0.1,9.7,0.1,20.7,0.6,NA,NA,1926,2499,0.23,2.48,NA,NA,NA
"Bosnia and Herzegovina",2022,3372,19355.7,-0.44,26,87,96,NA,8,0.1,9.4,0.1,21.2,0.6,NA,NA,1927,2501,0.22,2.48,NA,NA,NA
"Botswana",2017,2550,16372.1,1.01,22,NA,90,77,22.9,0.1,10.3,0.1,16.3,0.2,32.1,0.2,1814,2343,0.34,2.81,NA,17,0.1
"Botswana",2018,2531,16712.9,0.96,27,NA,91,78,23,0.1,10.1,0.1,16.7,0.2,32.3,0.2,1815,2345,0.34,2.92,NA,16.9,0.1
"Botswana",2019,2575,16887,1.1,38,NA,92,80,22.8,0.1,10,0.1,17.1,0.3,32.5,0.2,1817,2348,0.34,2.87,NA,16.9,0.1
"Botswana",2020,2584,15130.3,1.01,33,NA,92,80,22.5,0.1,10,0.1,17.5,0.3,NA,NA,1820,2352,0.37,2.99,NA,16.8,0.1
"Botswana",2021,2605,16651.5,1.04,19,NA,92,80,22.1,0.1,10,0.1,17.9,0.3,NA,NA,1824,2357,0.37,3.12,NA,NA,NA
"Botswana",2022,2543,17334.9,1.08,29,NA,93,81,21.6,0.1,10.1,0.1,18.3,0.3,NA,NA,1827,2361,0.37,3.12,NA,NA,NA
"Brazil",2017,3237,17145.3,-0.48,40,84,98,88,6.8,1,9,1.3,23.4,35.8,16.3,9.2,1891,2448,0.24,2.76,46,8.6,0.3
"Brazil",2018,3275,17313.1,-0.46,43,84,99,88,6.9,1,9.2,1.3,24.3,37.7,16.2,9.2,1891,2449,0.24,2.77,47,8.6,0.3
"Brazil",2019,3282,17390.8,-0.71,39,85,99,89,7.1,1,9.4,1.4,25.2,39.7,16.1,9.2,1892,2450,0.24,2.73,48,8.7,0.3
"Brazil",2020,3252,16709.4,-0.45,19,86,99,90,7.2,1,9.7,1.4,26.2,41.7,NA,NA,1892,2450,0.27,2.77,49,8.7,0.2
"Brazil",2021,3299,17450.5,-0.42,19,87,99,91,7.2,1,10,1.4,27.2,43.6,NA,NA,1893,2451,0.3,2.72,50,NA,NA
"Brazil",2022,3305,17874.3,-0.33,23,87,99,91,7.2,1,10.3,1.4,28.1,45.7,NA,NA,1894,2452,0.29,2.72,50,NA,NA
"Brunei Darussalam",2017,NA,79424.8,1.15,NA,NA,99,93,13.7,0.1,9,0.1,27.4,0.1,15.7,0.1,1868,2420,0.21,1.59,NA,13.5,0.1
"Brunei Darussalam",2018,NA,78734.8,1.24,NA,NA,99,95,13,0.1,9.1,0.1,28.3,0.1,16.2,0.1,1870,2423,0.21,1.59,NA,13.6,0.1
"Brunei Darussalam",2019,NA,81076.5,1.11,NA,NA,99,96,12.4,0.1,9.1,0.1,29.1,0.1,16.7,0.1,1871,2423,0.21,1.59,NA,13.6,0.1
"Brunei Darussalam",2020,NA,81313,1.19,NA,NA,99,97,11.8,0.1,9.1,0.1,30,0.1,NA,NA,1872,2423,0.21,1.59,NA,13.6,0.1
"Brunei Darussalam",2021,NA,79364.1,1.17,NA,NA,99,98,11.3,0.1,9.1,0.1,30.8,0.1,NA,NA,1873,2424,0.21,1.59,NA,NA,NA
"Brunei Darussalam",2022,NA,77440.8,1.26,NA,NA,99,99,10.9,0.1,9.1,0.1,31.7,0.1,NA,NA,1872,2423,0.21,1.59,NA,NA,NA
"Bulgaria",2017,2813,25875.6,0.32,42,96,99,86,6.4,0.1,4.5,0.1,19.1,1.1,23.1,0.4,1921,2490,0.19,1.91,68,11.2,0.1
"Bulgaria",2018,2871,26765.5,0.44,41,96,99,86,6.2,0.1,4.2,0.1,19.4,1.1,23.4,0.4,1920,2490,0.19,1.9,70,11.3,0.1
"Bulgaria",2019,2871,28042.3,0.56,39,96,99,86,6.1,0.1,4,0.1,19.7,1.2,23.6,0.3,1920,2490,0.19,1.82,70,11.3,0.1
"Bulgaria",2020,2899,27092.2,0.4,28,96,99,86,5.9,0.1,3.9,0.1,20,1.2,NA,NA,1921,2490,0.21,1.75,71,11.4,0.1
"Bulgaria",2021,2951,29406.6,0.36,15,96,99,86,5.7,0.1,3.8,0.1,20.3,1.2,NA,NA,1921,2491,0.2,1.85,72,NA,NA
"Bulgaria",2022,3014,32511.8,0.25,15,96,99,86,5.6,0.1,3.8,0.1,20.6,1.2,NA,NA,1921,2491,0.2,1.85,74,NA,NA
"Burkina Faso",2017,2618,2243.2,-0.93,18,NA,50,22,25.8,0.9,2,0.1,5,0.5,52.8,2.3,1717,2209,0.34,2.14,8,18.7,0.1
"Burkina Faso",2018,2655,2326.1,-1.06,28,NA,50,22,24.8,0.9,2,0.1,5.3,0.5,52.6,2.4,1720,2214,0.34,2.14,9,18.6,0.1
"Burkina Faso",2019,2630,2388.2,-1.3,20,NA,49,23,23.9,0.8,2,0.1,5.6,0.6,52.5,2.5,1724,2220,0.34,3.1,9,18.5,0.1
"Burkina Faso",2020,2678,2369.6,-1.54,20,NA,48,23,23.1,0.8,2,0.1,6,0.6,NA,NA,1728,2226,0.34,2.96,9,18.5,0.1
"Burkina Faso",2021,2652,2467.7,-1.64,24,NA,49,24,22.4,0.8,2,0.1,6.3,0.7,NA,NA,1732,2232,0.35,2.97,10,NA,NA
"Burkina Faso",2022,2676,2448.1,-1.78,25,NA,50,25,21.8,0.8,2,0.1,6.7,0.8,NA,NA,1737,2238,0.35,2.97,10,NA,NA
"Burundi",2017,NA,908.7,-2,NA,NA,61,46,56,1.2,2.8,0.1,3.8,0.2,36,0.9,1637,2097,0.28,4.81,NA,14.9,0.1
"Burundi",2018,NA,896.2,-1.57,NA,NA,62,46,56.1,1.2,2.9,0.1,4,0.2,37.2,1,1643,2105,0.28,5.17,NA,14.9,0.1
"Burundi",2019,NA,883.2,-1.62,NA,NA,62,46,56.2,1.2,3.1,0.1,4.2,0.2,38.5,1,1649,2115,0.28,4.76,NA,14.8,0.1
"Burundi",2020,NA,861,-1.54,NA,NA,62,46,56.3,1.2,3.2,0.1,4.5,0.3,NA,NA,1655,2124,0.28,4.81,NA,14.8,0.1
"Burundi",2021,NA,864.3,-1.26,NA,NA,62,46,56.4,1.2,3.4,0.1,4.7,0.3,NA,NA,1661,2133,0.28,4.76,NA,NA,NA
"Burundi",2022,NA,857.2,-1.19,NA,NA,62,46,56.5,1.2,3.6,0.1,5,0.3,NA,NA,1667,2143,0.28,4.76,NA,NA,NA
"Cabo Verde",2017,2558,7376.8,0.76,28,NA,87,75,10.8,0.1,NA,NA,13.3,0.1,25,0.1,1865,2419,0.26,3.38,NA,NA,NA
"Cabo Verde",2018,2593,7566.6,0.83,20,NA,88,77,10.5,0.1,NA,NA,13.7,0.1,24.6,0.1,1868,2422,0.26,3.37,NA,NA,NA
"Cabo Verde",2019,2599,8010.6,0.86,21,NA,89,79,10.2,0.1,NA,NA,14.2,0.1,24.3,0.1,1870,2424,0.25,3.25,NA,NA,NA
"Cabo Verde",2020,2653,6282.9,0.87,25,NA,89,81,9.9,0.1,NA,NA,14.7,0.1,NA,NA,1872,2426,0.25,3.05,NA,NA,NA
"Cabo Verde",2021,2637,6576,0.89,31,NA,90,83,9.6,0.1,NA,NA,15.2,0.1,NA,NA,1873,2428,0.25,3.08,NA,NA,NA
"Cabo Verde",2022,2642,7633.8,0.93,27,NA,90,83,9.4,0.1,NA,NA,15.8,0.1,NA,NA,1874,2428,0.25,3.08,NA,NA,NA
"Cambodia",2017,2676,4258.9,0.09,29,26,73,60,26.6,0.4,2.6,0.1,3.1,0.3,46.8,2,1774,2289,0.23,3.49,29,11.9,0.1
"Cambodia",2018,2763,4521.4,0.11,23,27,74,64,25.6,0.4,2.7,0.1,3.4,0.3,47,2.1,1775,2291,0.23,3.5,30,11.7,0.1
"Cambodia",2019,2812,4785.9,-0.08,28,27,75,67,24.7,0.4,2.9,0.1,3.6,0.4,47.1,2.1,1777,2293,0.23,3.37,32,11.6,0.1
"Cambodia",2020,2788,4584.2,-0.21,40,28,76,70,23.8,0.4,3.1,0.1,3.8,0.4,NA,NA,1779,2295,0.24,3.41,34,11.4,0.1
"Cambodia",2021,2811,4668.2,-0.13,41,28,77,74,23,0.4,3.4,0.1,4.1,0.4,NA,NA,1781,2299,0.25,3.31,35,NA,NA
"Cambodia",2022,2823,4860.5,-0.04,36,29,78,77,22.3,0.4,3.8,0.1,4.4,0.5,NA,NA,1784,2302,0.24,3.31,37,NA,NA
"Cameroon",2017,2749,4744,-1.09,75,NA,67,42,29.5,1.2,8.5,0.3,13.1,1.6,40.6,2.4,1731,2230,0.26,4.04,NA,12.6,0.1
"Cameroon",2018,2780,4797.2,-1.4,69,NA,68,42,29,1.2,8.8,0.4,13.4,1.7,40.6,2.5,1740,2242,0.26,4,NA,12.6,0.1
"Cameroon",2019,2833,4828.1,-1.56,36,NA,68,42,28.5,1.2,9.1,0.4,13.8,1.8,40.6,2.5,1742,2245,0.26,4.02,NA,12.5,0.1
"Cameroon",2020,2813,4711.1,-1.51,30,NA,68,43,27.9,1.2,9.5,0.4,14.1,1.9,NA,NA,1744,2248,0.26,3.93,NA,12.5,0.1
"Cameroon",2021,2838,4741.8,-1.39,29,NA,69,43,27.3,1.2,10,0.4,14.5,2,NA,NA,1747,2251,0.27,4,NA,NA,NA
"Cameroon",2022,2843,4785.7,-1.35,40,NA,70,43,26.9,1.2,10.5,0.5,14.9,2.1,NA,NA,1749,2255,0.26,4,NA,NA,NA
"Canada",2017,3593,55589.8,1.09,30,99,99,99,NA,NA,11.6,0.2,25.4,7.5,9.7,0.8,1927,2505,0.2,2.07,83,6.5,0.1
"Canada",2018,3599,56313.5,0.96,30,99,99,99,NA,NA,11.6,0.2,25.6,7.6,10,0.8,1927,2505,0.2,2.09,84,6.5,0.1
"Canada",2019,3581,56570,0.99,31,99,99,99,NA,NA,11.5,0.2,25.7,7.8,10.4,0.9,1927,2505,0.2,2.08,84,6.6,0.1
"Canada",2020,3624,53146.1,1.01,27,99,99,99,NA,NA,11.4,0.2,25.9,7.9,NA,NA,1927,2505,0.2,2.03,84,6.6,0.1
"Canada",2021,3589,55634.8,0.96,18,99,99,99,NA,NA,11.2,0.2,26,8.1,NA,NA,1927,2505,0.21,2.03,84,NA,NA
"Canada",2022,3616,56716.4,0.77,30,99,99,99,NA,NA,11.1,0.2,26.2,8.2,NA,NA,1926,2505,0.21,2.03,84,NA,NA
"Central African Republic",2017,2258,1059,-1.99,55,6,40,15,40.9,0.4,2.7,0.1,7.4,0.2,47.2,0.5,1657,2132,0.3,4.16,15,16.4,0.1
"Central African Republic",2018,2274,1077.9,-2.17,25,6,39,15,40.8,0.4,2.7,0.1,7.7,0.2,47,0.5,1659,2134,0.3,4.16,14,16.3,0.1
"Central African Republic",2019,2278,1086.9,-2.14,24,6,38,14,40.5,0.4,2.6,0.1,8.1,0.2,46.8,0.5,1659,2135,0.3,4.13,14,16.3,0.1
"Central African Republic",2020,2267,1069.3,-2.24,18,6,37,14,40.3,0.4,2.6,0.1,8.4,0.2,NA,NA,1661,2139,0.3,4.18,14,16.4,0.1
"Central African Republic",2021,2247,1057.2,-2.13,7,6,36,14,40,0.4,2.6,0.1,8.9,0.2,NA,NA,1661,2139,0.3,4.11,13,NA,NA
"Central African Republic",2022,2223,1039.3,-2.16,7,6,36,14,39.8,0.4,2.6,0.1,9.3,0.2,NA,NA,1661,2140,0.3,4.11,13,NA,NA
"Chad",2017,2344,1955.3,-1.29,54,6,49,12,35.7,1,2.9,0.1,5.4,0.4,46.4,1.6,1689,2169,0.38,2.89,10,NA,NA
"Chad",2018,2320,1935.2,-1.48,40,6,50,12,35,1,3,0.1,5.6,0.4,45.9,1.6,1691,2173,0.39,2.9,10,NA,NA
"Chad",2019,2299,1933.3,-1.35,25,6,50,12,34.4,1.1,3,0.1,5.8,0.4,45.4,1.6,1693,2176,0.39,2.9,10,NA,NA
"Chad",2020,2258,1843.2,-1.26,26,6,51,13,33.6,1.1,3.1,0.1,6.1,0.5,NA,NA,1695,2179,0.39,2.92,11,NA,NA
"Chad",2021,2196,1764.3,-1.39,6,6,52,13,32.9,1.1,3.2,0.1,6.4,0.5,NA,NA,1697,2182,0.4,2.94,11,NA,NA
"Chad",2022,2189,1748.5,-1.48,14,6,52,13,32.3,1.1,3.2,0.1,6.7,0.5,NA,NA,1699,2184,0.4,2.94,11,NA,NA
"Chile",2017,2987,28155.1,0.41,19,99,99,99,1.7,0.1,9.2,0.1,34.1,4.8,8.3,0.4,1885,2445,0.22,2.74,95,6.6,0.1
"Chile",2018,3021,28757.4,0.41,12,99,99,99,1.7,0.1,9.1,0.1,35,5,8.5,0.4,1887,2448,0.22,2.77,95,6.7,0.1
"Chile",2019,3048,28456.7,-0.02,11,99,99,99,1.7,0.1,9,0.1,36,5.3,8.7,0.4,1889,2450,0.22,2.75,95,6.8,0.1
"Chile",2020,3090,26347.1,0.04,14,99,99,99,1.6,0.1,8.9,0.1,37,5.5,NA,NA,1890,2451,0.22,2.76,95,6.8,0.1
"Chile",2021,3131,29148.2,0.16,18,99,99,99,1.6,0.1,8.9,0.1,37.9,5.7,NA,NA,1891,2452,0.23,2.82,95,NA,NA
"Chile",2022,3106,29691.2,0.12,24,99,99,99,1.6,0.1,8.8,0.1,38.9,5.9,NA,NA,1891,2452,0.23,2.82,95,NA,NA
"China",2017,3254,16773.5,NA,28,NA,NA,NA,5.9,5.4,7.7,7,6.1,67.8,15.2,54.8,1880,2435,NA,NA,NA,5,0.9
"China",2018,3271,17806.7,NA,29,NA,NA,NA,5.7,5,7.9,7,6.5,72.4,15.3,54.3,1880,2434,NA,NA,NA,5,0.8
"China",2019,3297,18765.5,NA,27,NA,NA,NA,5.4,4.6,8.1,6.9,6.9,77.3,15.5,54.2,1882,2436,NA,NA,NA,5,0.7
"China",2020,3314,19075.9,NA,24,NA,NA,NA,5.1,4.1,8.3,6.7,7.3,82.6,NA,NA,1885,2440,NA,NA,NA,5,0.6
"China",2021,3396,20669.9,NA,12,NA,NA,NA,4.9,3.6,8.6,6.4,7.8,88.3,NA,NA,1890,2447,NA,NA,NA,NA,NA
"China",2022,3398,21262.3,NA,21,NA,NA,NA,4.6,3.1,8.9,6,8.3,94.3,NA,NA,1894,2453,NA,NA,NA,NA,NA
"China, Hong Kong SAR",2017,3150,65662.7,0.82,26,99,99,96,NA,NA,NA,NA,NA,NA,NA,NA,1890,2446,0.22,3.06,85,NA,NA
"China, Hong Kong SAR",2018,3178,66993.8,0.78,48,99,99,96,NA,NA,NA,NA,NA,NA,NA,NA,1886,2440,0.22,2.93,88,NA,NA
"China, Hong Kong SAR",2019,3191,65388.1,-0.23,62,99,99,96,NA,NA,NA,NA,NA,NA,NA,NA,1883,2435,0.22,3.06,90,NA,NA
"China, Hong Kong SAR",2020,3099,61328.4,0.06,73,99,99,96,NA,NA,NA,NA,NA,NA,NA,NA,1880,2432,0.22,3.07,93,NA,NA
"China, Hong Kong SAR",2021,3050,65876.9,0.26,50,99,99,96,NA,NA,NA,NA,NA,NA,NA,NA,1879,2431,0.22,3.15,96,NA,NA
"China, Hong Kong SAR",2022,3055,64166.7,0.61,50,99,99,96,NA,NA,NA,NA,NA,NA,NA,NA,1879,2430,0.22,3.15,96,NA,NA
"China, Macao SAR",2017,3200,135547,1.41,32,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1902,2463,0.3,2.57,63,NA,NA
"China, Macao SAR",2018,3212,141486,1.23,29,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1894,2452,0.3,2.56,64,NA,NA
"China, Macao SAR",2019,3194,135229,1.22,26,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1890,2445,0.3,2.66,65,NA,NA
"China, Macao SAR",2020,2934,60597.7,1.14,28,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1885,2437,0.3,2.67,66,NA,NA
"China, Macao SAR",2021,2924,73734.1,1.03,79,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1883,2434,0.3,2.67,67,NA,NA
"China, Macao SAR",2022,2890,57203.4,1.13,84,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,1880,2429,0.3,2.67,68,NA,NA
"China, mainland",2017,3261,16461.1,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880,2435,0.19,4.02,NA,NA,NA
"China, mainland",2018,3278,17490.2,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880,2434,0.19,4.03,NA,NA,NA
"China, mainland",2019,3304,18465.3,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1882,2436,0.19,4.05,NA,NA,NA
"China, mainland",2020,3322,18833.8,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1885,2440,0.19,4,NA,NA,NA
"China, mainland",2021,3406,20406.7,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1890,2447,0.18,4.02,NA,NA,NA
"China, mainland",2022,3409,21019.5,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1894,2453,0.18,4.02,NA,NA,NA
"China, Taiwan Province of",2017,2926,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1910,2477,0.22,2.43,NA,NA,NA
"China, Taiwan Province of",2018,2951,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1909,2476,0.22,2.42,NA,NA,NA
"China, Taiwan Province of",2019,2963,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1907,2474,0.22,2.4,NA,NA,NA
"China, Taiwan Province of",2020,2952,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1906,2472,0.22,2.45,NA,NA,NA
"China, Taiwan Province of",2021,2961,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1905,2470,0.22,2.41,NA,NA,NA
"China, Taiwan Province of",2022,2959,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1904,2467,0.22,2.41,NA,NA,NA
"Colombia",2017,3038,17195.1,-0.78,44,73,96,90,12,0.4,5.4,0.2,20.9,7.2,20.9,2.8,1825,2361,0.27,2.61,18,10.8,0.1
"Colombia",2018,3072,17304.9,-0.81,30,73,97,91,11.8,0.4,5.5,0.2,21.5,7.6,21,2.8,1828,2364,0.27,2.8,18,10.8,0.1
"Colombia",2019,3046,17532.5,-0.98,30,73,97,92,11.6,0.4,5.7,0.2,22,8,21.2,2.9,1830,2367,0.27,2.96,18,10.9,0.1
"Colombia",2020,3086,16023.6,-0.7,43,73,97,93,11.5,0.4,5.8,0.2,22.5,8.4,NA,NA,1831,2369,0.27,2.88,18,11,0.1
"Colombia",2021,3091,17586.5,-0.95,35,74,97,94,11.3,0.4,6,0.2,23.1,8.7,NA,NA,1832,2370,0.27,2.9,18,NA,NA
"Colombia",2022,3113,18732.7,-0.64,18,74,98,95,11.2,0.4,6.2,0.2,23.6,9.1,NA,NA,1833,2370,0.27,2.9,18,NA,NA
"Comoros",2017,2484,3439.1,0.02,24,NA,80,36,24.4,0.1,9.3,0.1,13.2,0.1,33.3,0.1,1735,2236,0.26,3.3,NA,23.5,0.1
"Comoros",2018,2474,3497.1,-0.36,20,NA,80,36,23,0.1,9,0.1,13.8,0.1,33.5,0.1,1737,2238,0.26,3.19,NA,23.3,0.1
"Comoros",2019,2489,3492.7,-0.18,20,NA,80,36,21.7,0.1,8.7,0.1,14.4,0.1,33.8,0.1,1740,2242,0.26,3.2,NA,23.2,0.1
"Comoros",2020,2482,3420.2,-0.29,19,NA,NA,NA,20.6,0.1,8.3,0.1,15,0.1,NA,NA,1742,2245,0.26,3.94,NA,23,0.1
"Comoros",2021,2467,3426.8,-0.23,9,NA,NA,NA,19.6,0.1,8,0.1,15.6,0.1,NA,NA,1746,2250,0.26,4.04,NA,NA,NA
"Comoros",2022,2383,3445.1,-0.23,7,NA,NA,NA,18.8,0.1,7.7,0.1,16.3,0.1,NA,NA,1749,2254,0.26,4.04,NA,NA,NA
"Congo",2017,2141,7426.4,-0.53,57,45,73,20,19.7,0.2,4.4,0.1,7.9,0.2,49.8,0.6,1729,2222,0.26,4.28,NA,11.7,0.1
"Congo",2018,2128,7083.7,-0.35,22,46,73,20,19.1,0.2,4.4,0.1,8,0.2,49.2,0.6,1732,2227,0.26,4.29,NA,11.8,0.1
"Congo",2019,2143,6996.6,-0.3,15,46,74,20,18.5,0.2,4.4,0.1,8.1,0.2,48.8,0.6,1734,2230,0.26,4.15,NA,11.9,0.1
"Congo",2020,2179,6406.9,-0.21,18,46,74,20,17.8,0.1,4.4,0.1,8.2,0.2,NA,NA,1738,2236,0.26,3.98,NA,11.9,0.1
"Congo",2021,2196,6323.7,-0.23,14,46,74,21,17.1,0.1,4.5,0.1,8.4,0.3,NA,NA,1743,2244,0.26,4,NA,NA,NA
"Congo",2022,2191,6272.3,-0.02,17,NA,NA,NA,16.5,0.1,4.5,0.1,8.5,0.3,NA,NA,1747,2250,0.26,4,NA,NA,NA
"Cook Islands",2017,NA,NA,NA,NA,NA,99,85,NA,NA,NA,NA,65.8,0.1,26.6,0.1,NA,NA,NA,3.02,NA,10.2,0.1
"Cook Islands",2018,NA,NA,NA,NA,NA,99,85,NA,NA,NA,NA,66.4,0.1,26.8,0.1,NA,NA,NA,3.02,NA,10.3,0.1
"Cook Islands",2019,NA,NA,NA,NA,NA,99,85,NA,NA,NA,NA,67.1,0.1,27.1,0.1,NA,NA,NA,3.02,NA,10.3,0.1
"Cook Islands",2020,NA,NA,NA,NA,NA,99,85,NA,NA,NA,NA,67.7,0.1,NA,NA,NA,NA,NA,3.02,NA,10.3,0.1
"Cook Islands",2021,NA,NA,NA,NA,NA,99,85,NA,NA,NA,NA,68.3,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Cook Islands",2022,NA,NA,NA,NA,NA,99,85,NA,NA,NA,NA,68.9,0.1,NA,NA,NA,NA,NA,3.02,NA,NA,NA
"Costa Rica",2017,3007,22525.4,0.6,41,80,99,98,8,0.1,7.5,0.1,28.1,1,13,0.2,1883,2441,0.19,2.79,24,8.6,0.1
"Costa Rica",2018,3003,22899.6,0.45,54,80,99,98,8.3,0.1,7.5,0.1,28.7,1.1,13.3,0.2,1884,2443,0.19,2.83,25,8.6,0.1
"Costa Rica",2019,3021,23251.2,0.43,50,80,99,98,8.6,0.1,7.5,0.1,29.4,1.1,13.7,0.2,1886,2445,0.19,2.73,25,8.7,0.1
"Costa Rica",2020,3025,22090,0.75,41,80,99,98,8.9,0.1,7.6,0.1,30,1.1,NA,NA,1888,2448,0.19,2.67,25,8.7,0.1
"Costa Rica",2021,2986,23700.3,0.86,9,80,99,98,9.2,0.1,7.6,0.1,30.7,1.2,NA,NA,1890,2451,0.19,2.65,25,NA,NA
"Costa Rica",2022,2942,24650.5,0.95,25,80,99,98,9.5,0.1,7.6,0.1,31.4,1.2,NA,NA,1892,2453,0.19,2.65,25,NA,NA
"Côte d'Ivoire",2017,2778,5851.4,-1.09,29,39,72,33,24.8,1,2.5,0.1,9.6,1.2,51.3,3,1723,2220,0.32,3.92,16,18.5,0.2
"Côte d'Ivoire",2018,2797,5979.3,-0.9,28,40,72,34,23.8,1,2.5,0.1,10,1.3,51.1,3.1,1726,2224,0.32,3.88,16,18.4,0.2
"Côte d'Ivoire",2019,2850,6209.8,-1.04,25,42,72,35,22.8,0.9,2.5,0.1,10.4,1.4,50.9,3.2,1729,2228,0.32,3.93,16,18.4,0.2
"Côte d'Ivoire",2020,2892,6161.2,-1.03,8,44,73,36,21.8,0.9,2.5,0.1,10.8,1.5,NA,NA,1732,2233,0.32,3.95,17,18.3,0.2
"Côte d'Ivoire",2021,2942,6432.6,-0.72,12,44,73,36,20.9,0.9,2.6,0.1,11.2,1.6,NA,NA,1734,2237,0.32,3.92,17,NA,NA
"Côte d'Ivoire",2022,2956,6699.9,-0.52,16,44,73,37,20.2,0.9,2.6,0.1,11.6,1.7,NA,NA,1737,2241,0.35,3.92,17,NA,NA
"Croatia",2017,3089,31429.8,0.68,54,NA,NA,96,NA,NA,NA,NA,26.6,0.9,20.6,0.2,1923,2495,0.21,2.12,78,5,0.1
"Croatia",2018,3144,32606.3,0.79,51,NA,NA,96,NA,NA,NA,NA,27.4,0.9,20.7,0.2,1922,2494,0.21,2.26,78,5,0.1
"Croatia",2019,3183,33902.1,0.69,51,NA,NA,96,NA,NA,NA,NA,28.2,1,21,0.2,1921,2493,0.21,2.14,78,5,0.1
"Croatia",2020,3219,31124,0.61,34,NA,NA,96,NA,NA,NA,NA,29,1,NA,NA,1920,2492,0.21,2.23,78,5,0.1
"Croatia",2021,3259,36954.4,0.62,28,NA,NA,96,NA,NA,NA,NA,29.8,1,NA,NA,1920,2492,0.21,2.11,78,NA,NA
"Croatia",2022,3302,39538.5,0.61,24,NA,NA,NA,NA,NA,NA,NA,30.6,1,NA,NA,1920,2492,0.21,2.11,NA,NA,NA
"Cuba",2017,3437,NA,0.64,46,NA,94,90,7.1,0.1,10,0.1,18.9,1.7,19.3,0.5,1890,2449,0.23,3.06,42,7.1,0.1
"Cuba",2018,3385,NA,0.64,59,NA,94,90,7.1,0.1,10,0.1,19.5,1.8,19.2,0.5,1890,2449,0.23,3.03,41,7.1,0.1
"Cuba",2019,3424,NA,0.61,58,NA,94,91,7.1,0.1,10.1,0.1,20,1.8,19.3,0.5,1890,2449,0.23,3,41,7.1,0.1
"Cuba",2020,3379,NA,0.6,50,NA,94,91,7,0.1,10.1,0.1,20.6,1.9,NA,NA,1890,2449,0.23,2.89,41,7.1,0.1
"Cuba",2021,3417,NA,0.39,21,NA,95,92,7,0.1,10.1,0.1,21.2,1.9,NA,NA,1890,2449,0.23,2.59,41,NA,NA
