"country","year","diet_energy_supply","gdp_per_capita","political_stability","food_supply_variability","safe_water_access","basic_water_access","basic_sanitation_access","percentage_of_children_under_5_years_of_age_who_are_stunted_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_stunted_modeled_estimates_million","percentage_of_children_under_5_years_of_age_who_are_overweight_modelled_estimates_percent","number_of_children_under_5_years_of_age_who_are_overweight_modeled_estimates_million","prevalence_of_obesity_in_the_adult_population_18_years_and_older_percent","number_of_obese_adults_18_years_and_older_million","prevalence_of_anemia_among_women_of_reproductive_age_1549_years_percent","number_of_women_of_reproductive_age_1549_years_affected_by_anemia_million","minimum_dietary_energy_requirement_kcalcapday","average_dietary_energy_requirement_kcalcapday","coefficient_of_variation_of_habitual_caloric_consumption_distribution_real_number","incidence_of_caloric_losses_at_retail_distribution_level_percent","percentage_of_population_using_safely_managed_sanitation_services_percent","prevalence_of_low_birthweight_percent","number_of_newborns_with_low_birthweight_million"
"Angola",2020,2398,7562.1,-0.6,32,NA,57,52,42.4,2.5,3.7,0.2,10.8,1.7,NA,NA,1668,2143,0.35,3.85,NA,15.5,0.2
"Angola",2021,2405,7414.3,-0.71,5,NA,57,52,43.1,2.6,3.8,0.2,11.1,1.9,NA,NA,1669,2145,0.36,3.84,NA,NA,NA
"Angola",2022,2437,7407.1,-0.65,25,NA,58,52,43.6,2.7,3.9,0.2,11.5,2,NA,NA,1672,2149,0.36,3.84,NA,NA,NA
"Antigua and Barbuda",2017,NA,26949.1,0.73,NA,NA,98,97,NA,NA,NA,NA,29.9,0.1,16.9,0.1,1907,2469,0.24,3.72,NA,15.3,0.1
"Antigua and Barbuda",2018,NA,28663.5,0.82,NA,NA,98,97,NA,NA,NA,NA,30.6,0.1,17,0.1,1905,2466,0.24,3.66,NA,15.3,0.1
"Antigua and Barbuda",2019,NA,29394.6,0.94,NA,NA,98,97,NA,NA,NA,NA,31.2,0.1,17.2,0.1,1908,2469,0.24,3.6,NA,15.4,0.1
"Antigua and Barbuda",2020,NA,23704,0.93,NA,NA,98,97,NA,NA,NA,NA,31.9,0.1,NA,NA,1910,2472,0.29,3.42,NA,15.4,0.1
"Antigua and Barbuda",2021,NA,25493.1,0.95,NA,NA,98,97,NA,NA,NA,NA,32.6,0.1,NA,NA,1908,2470,0.29,3.37,NA,NA,NA
"Antigua and Barbuda",2022,NA,27757.2,0.94,NA,NA,98,97,NA,NA,NA,NA,33.3,0.1,NA,NA,1910,2472,0.29,3.37,NA,NA,NA
"Argentina",2017,3195,28499,0.16,33,NA,NA,NA,8.2,0.3,11.5,0.4,30.6,9.5,11.9,1.3,1870,2423,0.26,2.85,NA,7.3,0.1
"Argentina",2018,3238,27472.6,0.01,32,NA,NA,NA,8.3,0.3,11.6,0.4,31.5,9.9,11.8,1.3,1872,2425,0.27,2.83,NA,7.3,0.1
"Argentina",2019,3270,26656.8,-0.1,32,NA,NA,NA,8.6,0.3,11.8,0.4,32.4,10.4,11.9,1.3,1874,2429,0.28,2.78,NA,7.4,0.1
"Argentina",2020,3309,23785.8,-0.07,31,NA,NA,NA,8.9,0.3,12,0.4,33.4,10.8,NA,NA,1877,2433,0.28,2.8,NA,7.4,0.1
"Argentina",2021,3345,26086.8,0,15,NA,NA,NA,9.2,0.3,12.3,0.4,34.4,11.2,NA,NA,1881,2438,0.28,2.83,NA,NA,NA
"Argentina",2022,3347,27127.4,-0.01,14,NA,NA,NA,9.5,0.3,12.6,0.4,35.4,11.6,NA,NA,1884,2442,0.28,2.83,NA,NA,NA
"Armenia",2017,3133,14880.6,-0.63,56,83,99,94,9.7,0.1,12.1,0.1,22.4,0.5,17.1,0.1,1877,2428,0.2,2.6,11,8.3,0.1
"Armenia",2018,3176,15739.1,-0.45,82,83,99,94,9.1,0.1,11.7,0.1,22.8,0.5,17.1,0.1,1874,2423,0.2,2.46,11,8.3,0.1
"Armenia",2019,3230,17031.1,-0.42,71,83,99,94,8.5,0.1,11.4,0.1,23.2,0.5,17.3,0.1,1873,2420,0.2,2.45,11,8.3,0.1
"Armenia",2020,3218,15889.3,-0.77,51,83,99,94,8,0.1,11.3,0.1,23.7,0.5,NA,NA,1872,2420,0.21,2.47,11,8.3,0.1
"Armenia",2021,3229,16899.1,-0.8,40,82,99,94,7.5,0.1,11.3,0.1,24.1,0.5,NA,NA,1873,2419,0.2,2.5,11,NA,NA
"Armenia",2022,3278,19100.2,-0.8,52,82,99,94,7.2,0.1,11.5,0.1,24.5,0.5,NA,NA,1872,2418,0.2,2.5,11,NA,NA
"Australia",2017,3494,56028.4,0.88,50,NA,99,99,3.3,0.1,17.9,0.3,27.9,5.3,7.9,0.5,1918,2489,0.21,2.03,95,6.5,0.1
"Australia",2018,3470,56800.6,0.97,44,NA,99,99,3.3,0.1,18.8,0.3,28.3,5.5,8.2,0.5,1919,2490,0.21,2,95,6.5,0.1
"Australia",2019,3504,57188.3,0.92,41,NA,99,99,3.3,0.1,19.6,0.3,28.8,5.7,8.5,0.5,1919,2491,0.21,1.96,96,6.5,0.1
"Australia",2020,3480,56298.2,0.86,31,NA,99,99,3.3,0.1,20.4,0.3,29.3,5.9,NA,NA,1920,2493,0.21,2.03,96,6.6,0.1
"Australia",2021,3454,57406.2,0.84,27,NA,99,99,3.3,0.1,21.1,0.3,29.8,6,NA,NA,1921,2494,0.22,2,96,NA,NA
"Australia",2022,3422,59120,0.93,20,NA,99,99,3.4,0.1,21.8,0.3,30.2,6.2,NA,NA,1922,2495,0.22,2,96,NA,NA
"Austria",2017,3754,63840.4,1.03,53,99,99,99,NA,NA,NA,NA,14.6,1.1,12.5,0.2,1954,2540,0.2,1.73,99,6.5,0.1
"Austria",2018,3755,65071,0.88,37,99,99,99,NA,NA,NA,NA,14.8,1.1,12.7,0.3,1953,2539,0.2,1.79,99,6.4,0.1
"Austria",2019,3814,65722,0.89,18,99,99,99,NA,NA,NA,NA,14.9,1.1,13,0.3,1951,2537,0.2,1.74,99,6.4,0.1
"Austria",2020,3777,61108.4,0.89,30,99,99,99,NA,NA,NA,NA,15,1.1,NA,NA,1950,2535,0.2,1.72,99,6.3,0.1
"Austria",2021,3819,63421.2,0.9,29,99,99,99,NA,NA,NA,NA,15.2,1.1,NA,NA,1949,2533,0.21,1.69,99,NA,NA
"Austria",2022,3834,65836.9,0.64,25,99,99,99,NA,NA,NA,NA,15.4,1.1,NA,NA,1948,2532,0.21,1.69,99,NA,NA
"Azerbaijan",2017,3087,19676,-0.75,36,69,94,96,14.9,0.1,10.8,0.1,24,1.7,34.7,0.9,1859,2402,0.21,2.3,69,11,0.1
"Azerbaijan",2018,3153,19798.8,-0.71,21,70,95,96,14.6,0.1,10.5,0.1,24.5,1.8,34.8,0.9,1862,2406,0.21,2.3,69,11,0.1
"Azerbaijan",2019,3269,20122.7,-0.69,22,70,96,96,14.2,0.1,10.3,0.1,25,1.8,35.1,0.9,1865,2411,0.21,2.34,69,11,0.1
"Azerbaijan",2020,3344,19126.1,-0.85,56,71,96,NA,13.9,0.1,10.2,0.1,25.5,1.9,NA,NA,1868,2415,0.21,2.34,NA,11,0.1
"Azerbaijan",2021,3384,20111.4,-0.84,74,71,97,NA,13.5,0.1,10.1,0.1,26,1.9,NA,NA,1873,2421,0.21,2.33,NA,NA,NA
"Azerbaijan",2022,3417,21031.5,-0.93,68,72,98,NA,13.3,0.1,10.1,0.1,26.5,2,NA,NA,1877,2428,0.21,2.33,NA,NA,NA
"Bahamas",2017,NA,32329.7,0.98,NA,NA,99,95,NA,NA,NA,NA,43.6,0.1,13.7,0.1,1916,2486,0.21,3.24,NA,15.4,0.1
"Bahamas",2018,NA,33034.3,0.85,NA,NA,99,95,NA,NA,NA,NA,44.3,0.1,14.1,0.1,1920,2491,0.21,3.28,NA,15.4,0.1
"Bahamas",2019,NA,32573.8,0.8,NA,NA,99,95,NA,NA,NA,NA,45.1,0.1,14.5,0.1,1921,2493,0.21,3.26,NA,15.4,0.1
"Bahamas",2020,NA,24799,0.83,NA,NA,NA,NA,NA,NA,NA,NA,45.8,0.1,NA,NA,1925,2499,0.23,3.31,NA,15.4,0.1
"Bahamas",2021,NA,28908.9,0.85,NA,NA,NA,NA,NA,NA,NA,NA,46.5,0.1,NA,NA,1927,2502,0.23,3.36,NA,NA,NA
"Bahamas",2022,NA,32895,0.88,NA,NA,NA,NA,NA,NA,NA,NA,47.3,0.1,NA,NA,1931,2508,0.23,3.36,NA,NA,NA
"Bahrain",2017,NA,53451,-0.96,NA,99,99,99,5.8,0.1,NA,NA,34.1,0.4,35.6,0.1,1939,2524,0.11,3.02,91,12.1,0.1
"Bahrain",2018,NA,53460,-0.85,NA,99,99,99,5.6,0.1,NA,NA,34.5,0.4,35.5,0.1,1940,2525,0.11,3.02,91,12.2,0.1
"Bahrain",2019,NA,54368.1,-0.63,NA,99,99,99,5.4,0.1,NA,NA,34.9,0.4,35.4,0.1,1938,2520,0.11,3.15,91,12.3,0.1
"Bahrain",2020,NA,52429.6,-0.61,NA,99,99,99,5.3,0.1,NA,NA,35.3,0.4,NA,NA,1935,2514,0.11,3.23,92,12.4,0.1
"Bahrain",2021,NA,54351.8,-0.52,NA,99,99,99,5.1,0.1,NA,NA,35.7,0.4,NA,NA,1933,2509,0.11,3,92,NA,NA
"Bahrain",2022,NA,56646.6,-0.41,NA,99,99,99,5,0.1,NA,NA,36.1,0.4,NA,NA,1934,2511,0.11,3,92,NA,NA
"Bangladesh",2017,2494,6020.3,-1.25,31,57,98,52,32.5,4.8,2.2,0.3,3.7,3.9,36.2,16.2,1774,2294,0.26,2.79,25,23.5,0.7
"Bangladesh",2018,2565,6386.3,-0.99,32,58,98,53,31.2,4.6,2.2,0.3,4,4.3,36.4,16.5,1780,2302,0.26,2.76,26,23.3,0.7
"Bangladesh",2019,2514,6813.4,-0.93,42,58,98,55,29.9,4.4,2.2,0.3,4.3,4.7,36.7,16.8,1783,2305,0.26,2.79,28,23.1,0.7
"Bangladesh",2020,2571,6968.1,-0.92,38,59,98,56,28.6,4.2,2.2,0.3,4.6,5.2,NA,NA,1786,2309,0.26,2.75,29,23,0.7
"Bangladesh",2021,2568,7366.5,-1.04,37,59,98,58,27.5,4,2.2,0.3,5,5.7,NA,NA,1788,2312,0.26,2.77,30,NA,NA
"Bangladesh",2022,2583,7805.2,-1.09,29,59,98,59,26.4,3.9,2.1,0.3,5.3,6.2,NA,NA,1790,2314,0.26,2.77,31,NA,NA
"Barbados",2017,3043,17190.1,0.95,44,NA,98,97,6.7,0.1,12.7,0.1,34.4,0.1,16.7,0.1,1908,2476,0.22,2.78,NA,NA,NA
"Barbados",2018,3089,17009.7,0.9,50,NA,98,97,6.5,0.1,12.8,0.1,35.1,0.1,16.8,0.1,1911,2480,0.22,2.76,NA,NA,NA
"Barbados",2019,3137,17024.6,1.03,43,NA,98,98,6.4,0.1,12.7,0.1,35.8,0.1,17,0.1,1913,2484,0.22,2.68,NA,NA,NA
"Barbados",2020,3194,14828.8,1.12,38,NA,98,98,6.2,0.1,12.7,0.1,36.6,0.1,NA,NA,1915,2487,0.26,2.75,NA,NA,NA
"Barbados",2021,3174,14686.2,1.12,30,NA,98,98,6.1,0.1,12.6,0.1,37.3,0.1,NA,NA,1917,2490,0.26,2.75,NA,NA,NA
"Barbados",2022,3310,16325.5,1.15,28,NA,98,98,6,0.1,12.5,0.1,38,0.1,NA,NA,1920,2495,0.26,2.75,NA,NA,NA
"Belarus",2017,3243,25504,-0.06,42,93,98,98,3.7,0.1,5.9,0.1,21.2,1.7,20.1,0.4,1897,2454,0.21,2.39,75,5.1,0.1
"Belarus",2018,3243,26363.6,0.35,45,93,98,99,3.7,0.1,5.6,0.1,21.3,1.7,20.3,0.4,1897,2453,0.21,2.36,75,5.1,0.1
"Belarus",2019,3292,26798.9,0.34,43,93,98,99,3.7,0.1,5.4,0.1,21.3,1.7,20.6,0.4,1897,2453,0.2,2.39,75,5.1,0.1
"Belarus",2020,3334,26731.5,-0.89,20,93,99,99,3.6,0.1,5.3,0.1,21.3,1.6,NA,NA,1897,2454,0.2,2.38,75,5.1,0.1
"Belarus",2021,3320,27611.2,-0.75,20,93,99,99,3.6,0.1,5.2,0.1,21.3,1.6,NA,NA,1898,2455,0.2,2.3,75,NA,NA
"Belarus",2022,3385,26526.6,-0.79,20,93,99,99,3.6,0.1,5.3,0.1,21.4,1.6,NA,NA,1899,2456,0.2,2.3,75,NA,NA
"Belgium",2017,3792,60044.6,0.42,30,99,99,99,2.6,0.1,3.8,0.1,18.8,1.7,12.8,0.3,1954,2540,0.2,1.73,90,6.8,0.1
"Belgium",2018,3801,60843.6,0.39,30,99,99,99,2.5,0.1,3.9,0.1,19,1.7,13.2,0.3,1954,2540,0.2,1.83,92,6.8,0.1
"Belgium",2019,3849,61871.7,0.46,31,99,99,99,2.5,0.1,3.9,0.1,19.2,1.8,13.6,0.3,1955,2541,0.2,1.77,93,6.8,0.1
"Belgium",2020,3859,58364.7,0.52,25,99,99,99,2.5,0.1,3.9,0.1,19.5,1.8,NA,NA,1955,2542,0.2,1.75,94,6.8,0.1
"Belgium",2021,3892,62107.1,0.66,13,99,99,99,2.4,0.1,4,0.1,19.8,1.8,NA,NA,1956,2544,0.2,1.88,94,NA,NA
"Belgium",2022,3900,63431,0.58,17,99,99,99,2.4,0.1,4,0.1,20,1.9,NA,NA,1956,2544,0.21,1.88,95,NA,NA
"Belize",2017,2761,11523,0.03,39,NA,98,88,14.2,0.1,7.1,0.1,38.7,0.1,20.5,0.1,1763,2280,0.25,2.5,NA,11.5,0.1
"Belize",2018,2801,11419.9,0,25,NA,98,88,13.7,0.1,6.8,0.1,39.4,0.1,20.5,0.1,1767,2284,0.25,2.53,NA,11.5,0.1
