"country","unit","year","total population - both sexes (1000 no)","total population - male (1000 no)","total population - female (1000 no)","rural population (1000 no)","urban population (1000 no)"
"Wallis and Futuna Islands","1000 No",2020,11.616,5.587,6.029,11.551,0
"Wallis and Futuna Islands","1000 No",2021,11.568,5.555,6.013,11.494,0
"Wallis and Futuna Islands","1000 No",2022,11.478,5.495,5.984,11.457,0
"Western Sahara","1000 No",2017,512.843,282.615,230.228,73.931,478.697
"Western Sahara","1000 No",2018,525.782,289.942,235.84,75.548,491.873
"Western Sahara","1000 No",2019,538.44,297.094,241.345,77.15,505.328
"Western Sahara","1000 No",2020,549.365,303.121,246.244,78.676,518.663
"Western Sahara","1000 No",2021,558.619,308.065,250.554,80.102,531.743
"Western Sahara","1000 No",2022,568.739,313.587,255.151,81.44,544.649
"Yemen","1000 No",2017,33090.921,16782.377,16308.544,18075.808,10174.612
"Yemen","1000 No",2018,34085.182,17279.871,16805.311,18320.024,10595.26
"Yemen","1000 No",2019,35111.408,17791.816,17319.592,18554.546,11025.44
"Yemen","1000 No",2020,36134.863,18304.57,17830.293,18779.891,11465.414
"Yemen","1000 No",2021,37140.23,18809.391,18330.84,18995.833,11914.982
"Yemen","1000 No",2022,38222.876,19356.445,18866.431,19201.842,12373.691
"Yugoslav SFR","1000 No",2017,NA,NA,NA,NA,NA
"Yugoslav SFR","1000 No",2018,NA,NA,NA,NA,NA
"Yugoslav SFR","1000 No",2019,NA,NA,NA,NA,NA
"Yugoslav SFR","1000 No",2020,NA,NA,NA,NA,NA
"Yugoslav SFR","1000 No",2021,NA,NA,NA,NA,NA
"Yugoslav SFR","1000 No",2022,NA,NA,NA,NA,NA
"Zambia","1000 No",2017,17441.32,8625.731,8815.588,9747.709,7346.421
"Zambia","1000 No",2018,17973.569,8892.364,9081.205,9945.501,7663.677
"Zambia","1000 No",2019,18513.839,9162.004,9351.836,10143.883,7993.486
"Zambia","1000 No",2020,19059.395,9433.237,9626.158,10342.892,8336.381
"Zambia","1000 No",2021,19603.607,9702.842,9900.766,10542.189,8692.602
"Zambia","1000 No",2022,20152.938,9973.857,10179.081,10741.328,9062.291
"Zimbabwe","1000 No",2017,14812.482,7015.107,7797.375,11201.138,5328.766
"Zimbabwe","1000 No",2018,15034.452,7125.471,7908.981,11465.748,5447.513
"Zimbabwe","1000 No",2019,15271.368,7243.442,8027.926,11725.97,5571.525
"Zimbabwe","1000 No",2020,15526.888,7370.588,8156.301,11980.005,5700.46
"Zimbabwe","1000 No",2021,15797.21,7505.482,8291.728,12226.34,5834.113
"Zimbabwe","1000 No",2022,16069.056,7642.717,8426.339,12464.597,5972.826
"World","1000 No",2017,7645617.399,3849385.236,3796232.163,3410073.507,4140188.594
"World","1000 No",2018,7729902.235,3891358.836,3838543.4,3413002.007,4219817.318
"World","1000 No",2019,7811293.163,3931908.807,3879384.356,3415138.305,4299438.618
"World","1000 No",2020,7887000.764,3969228.761,3917772.003,3416488.365,4378993.944
"World","1000 No",2021,7954447.873,4002147.929,3952299.944,3417047.481,4458417.153
"World","1000 No",2022,8021406.686,4035007.682,3986399.004,3416797.665,4537671.317
"Africa","1000 No",2017,1282902.115,640421.902,642480.213,727896.702,528371.323
"Africa","1000 No",2018,1315409.766,656764.518,658645.249,740318.336,547602.182
"Africa","1000 No",2019,1348005.493,673121.004,674884.489,752651.097,567387.619
"Africa","1000 No",2020,1380821.169,689555.593,691265.577,764884.396,587737.793
"Africa","1000 No",2021,1413753.052,706044.698,707708.355,777000.214,608654.401
"Africa","1000 No",2022,1446883.651,722637.27,724246.381,788982.695,630139.701
"Eastern Africa","1000 No",2017,416316.272,206272.026,210044.245,306001.925,116034.318
"Eastern Africa","1000 No",2018,427413.551,211806.113,215607.438,312327.611,121315.521
"Eastern Africa","1000 No",2019,439167.066,217652.48,221514.586,318637.474,126809.813
"Eastern Africa","1000 No",2020,451202.854,223636.256,227566.598,324919.316,132520.364
"Eastern Africa","1000 No",2021,463258.724,229628.462,233630.262,331162.962,138450.877
"Eastern Africa","1000 No",2022,475299.909,235615.794,239684.116,337361.62,144606.311
"Middle Africa","1000 No",2017,171140.384,85041.247,86099.137,83405.744,80089.141
"Middle Africa","1000 No",2018,176708.414,87817.114,88891.299,85054.645,83483.558
"Middle Africa","1000 No",2019,182227.031,90561.76,91665.272,86700.296,86992.671
"Middle Africa","1000 No",2020,187912.229,93384.095,94528.133,88339.965,90619.3
"Middle Africa","1000 No",2021,193787.146,96301.542,97485.603,89971.306,94365.2
"Middle Africa","1000 No",2022,199713.824,99230.508,100483.317,91592.507,98231.845
"Northern Africa","1000 No",2017,242448.166,122280.73,120167.436,112633.551,120970.023
"Northern Africa","1000 No",2018,247397.835,124761.435,122636.401,114140.51,123644.167
"Northern Africa","1000 No",2019,251971.331,127050.995,124920.336,115588.761,126343.762
"Northern Africa","1000 No",2020,256299.475,129205.207,127094.267,116981.09,129068.218
"Northern Africa","1000 No",2021,260481.89,131285.697,129196.193,118313.36,131814.104
"Northern Africa","1000 No",2022,264719.925,133396.523,131323.402,119579.569,134579.126
"Southern Africa","1000 No",2017,65724.067,31867.739,33856.327,24036.672,41106.532
"Southern Africa","1000 No",2018,66842,32435.933,34406.067,24003.742,41970.076
"Southern Africa","1000 No",2019,67959.742,32999.932,34959.81,23959.915,42829.91
"Southern Africa","1000 No",2020,69085.492,33565.409,35520.083,23906.857,43688.187
"Southern Africa","1000 No",2021,70182.727,34116.742,36065.985,23844.432,44543.707
"Southern Africa","1000 No",2022,71212.991,34646.071,36566.919,23771.875,45393.639
"Western Africa","1000 No",2017,387273.226,194960.159,192313.067,201818.81,170171.309
"Western Africa","1000 No",2018,397047.966,199943.921,197104.045,204791.828,177188.86
"Western Africa","1000 No",2019,406680.322,204855.837,201824.485,207764.651,184411.463
"Western Africa","1000 No",2020,416321.121,209764.625,206556.496,210737.168,191841.724
"Western Africa","1000 No",2021,426042.566,214712.254,211330.312,213708.154,199480.513
"Western Africa","1000 No",2022,435937.001,219748.374,216188.626,216677.124,207328.78
"Americas","1000 No",2017,1000714.159,496776.882,503937.277,191397.785,815403.279
"Americas","1000 No",2018,1009489.477,501180.099,508309.379,190812.189,825044.302
"Americas","1000 No",2019,1017894.604,505382.102,512512.502,190160.775,834641.584
"Americas","1000 No",2020,1024463.733,508533.934,515929.798,189443.582,844188.513
"Americas","1000 No",2021,1029207.257,510640.912,518566.344,188661.159,853680.996
"Americas","1000 No",2022,1034848.565,513216.154,521632.411,187813.865,863114.031
"Northern America","1000 No",2017,369138.725,185125.684,184013.04,65054.421,296153.39
"Northern America","1000 No",2018,372477.317,186937.728,185539.588,64857.38,298987.11
"Northern America","1000 No",2019,375699.068,188677.65,187021.418,64638.685,301858.117
"Northern America","1000 No",2020,377734.349,189738.698,187995.651,64397.379,304761.178
"Northern America","1000 No",2021,378741.966,190206.333,188535.634,64133.908,307697.259
"Northern America","1000 No",2022,380481.775,191019.174,189462.602,63848.682,310667.107
"Central America","1000 No",2017,171470.401,83898.361,87572.04,45398.572,131917.745
"Central America","1000 No",2018,173310.399,84761.893,88548.506,45404.518,134211.645
"Central America","1000 No",2019,175136.476,85620.317,89516.158,45391.56,136495.379
"Central America","1000 No",2020,176794.354,86375.291,90419.063,45359.568,138767.686
"Central America","1000 No",2021,178237.936,87006.584,91231.352,45308.453,141026.955
"Central America","1000 No",2022,179821.109,87731.15,92089.959,45238.191,143271.376
"Caribbean","1000 No",2017,43059.73,21259.741,21799.988,12776.03,31107.289
"Caribbean","1000 No",2018,43261.407,21355.145,21906.262,12662.505,31492.818
"Caribbean","1000 No",2019,43510.817,21471.289,22039.529,12546.421,31873.722
"Caribbean","1000 No",2020,43721.515,21561.378,22160.136,12428.469,32250.967
"Caribbean","1000 No",2021,43895.981,21633.131,22262.85,12308.814,32624.379
"Caribbean","1000 No",2022,44052.902,21698.168,22354.734,12187.399,32993.217
"South America","1000 No",2017,417045.303,206493.095,210552.208,68168.762,356224.855
"South America","1000 No",2018,420440.355,208125.333,212315.022,67887.786,360352.729
"South America","1000 No",2019,423548.243,209612.846,213935.397,67584.109,364414.366
"South America","1000 No",2020,426213.516,210858.568,215354.948,67258.166,368408.682
"South America","1000 No",2021,428331.373,211794.864,216536.509,66909.984,372332.403
"South America","1000 No",2022,430492.778,212767.662,217725.116,66539.593,376182.331
"Asia","1000 No",2017,4572478.814,2330690.884,2241787.929,2286704.694,2217723.679
"Asia","1000 No",2018,4613623.514,2350854.979,2262768.535,2279002.514,2266130.58
"Asia","1000 No",2019,4652385.286,2369913.31,2282471.976,2270755.523,2314051.549
"Asia","1000 No",2020,4688113.371,2387261.986,2300851.386,2261989.775,2361464.416
"Asia","1000 No",2021,4718316.367,2401707.735,2316608.633,2252719.984,2408318.385
"Asia","1000 No",2022,4747661.033,2415863.905,2331797.129,2242938.51,2454566.304
"Central Asia","1000 No",2017,72284.265,35694.262,36590.003,36733.987,34105.688
"Central Asia","1000 No",2018,73610.806,36375.49,37235.315,37234.742,34625.723
"Central Asia","1000 No",2019,75002.201,37107.52,37894.681,37703.339,35150.176
"Central Asia","1000 No",2020,76431.851,37858.522,38573.329,38139.729,35681.394
"Central Asia","1000 No",2021,77866.729,38597.773,39268.956,38542.219,36219.162
"Central Asia","1000 No",2022,79341.768,39344.433,39997.334,38908.772,36762.352
"Eastern Asia","1000 No",2017,1651552.154,839851.63,811700.524,628779.235,1019385.342
"Eastern Asia","1000 No",2018,1658451.407,843082.438,815368.968,614092.565,1039790.968
"Eastern Asia","1000 No",2019,1663088.297,845180.108,817908.19,599552.015,1059488.755
"Eastern Asia","1000 No",2020,1665532.976,846040.271,819492.705,585183.672,1078434.915
"Eastern Asia","1000 No",2021,1665274.546,845450.053,819824.493,571007.942,1096583.337
"Eastern Asia","1000 No",2022,1663264.901,843960.423,819304.478,557048.224,1113901.358
"Southern Asia","1000 No",2017,1917144.604,982462.992,934681.613,1208826.282,660158.275
"Southern Asia","1000 No",2018,1939537.762,993763.199,945774.563,1215172.023,676282.098
"Southern Asia","1000 No",2019,1961729.204,1005002.734,956726.47,1220975.549,692692.943
"Southern Asia","1000 No",2020,1983510.393,1015977.618,967532.775,1226227.943,709387.963
"Southern Asia","1000 No",2021,2003263.427,1025774.877,977488.55,1230920.409,726365.345
"Southern Asia","1000 No",2022,2022467.287,1035146.112,987321.175,1235035.162,743619.031
"South-eastern Asia","1000 No",2017,656434.171,327923.353,328510.818,335388.462,313391.578
"South-eastern Asia","1000 No",2018,662964.449,331115.928,331848.521,335254.479,320382.097
"South-eastern Asia","1000 No",2019,669203.546,334161.461,335042.085,334987.132,327388.162
"South-eastern Asia","1000 No",2020,674988.497,336981.506,338006.992,334597.416,334418.881
"South-eastern Asia","1000 No",2021,679966.582,339396.952,340569.63,334085.492,341470.946
"South-eastern Asia","1000 No",2022,684898.412,341803.02,343095.392,333445.013,348533.155
"Western Asia","1000 No",2017,275063.62,144758.647,130304.973,76976.728,190682.796
"Western Asia","1000 No",2018,279059.091,146517.924,132541.167,77248.705,195049.694
"Western Asia","1000 No",2019,283362.037,148461.487,134900.549,77537.488,199331.513
"Western Asia","1000 No",2020,287649.653,150404.068,137245.586,77841.015,203541.263
"Western Asia","1000 No",2021,291945.083,152488.079,139457.004,78163.922,207679.595
"Western Asia","1000 No",2022,297688.665,155609.915,142078.75,78501.339,211750.408
"Europe","1000 No",2017,747428.657,360394.251,387034.407,191114.577,550959.276
"Europe","1000 No",2018,748564.321,361094.31,387470.012,189736.785,552911.225
"Europe","1000 No",2019,749503.591,361683.351,387820.241,188270.268,554832.332
"Europe","1000 No",2020,749523.517,361785.646,387737.87,186706.006,556684.039
"Europe","1000 No",2021,748612.986,361427.422,387185.564,185042.265,558453.858
"Europe","1000 No",2022,746964.086,360721.204,386242.883,183284.15,560153.921
"Eastern Europe","1000 No",2017,295094.769,138951.289,156143.48,89230.966,203223.398
"Eastern Europe","1000 No",2018,294903.107,138906.647,155996.46,88705.689,203247.639
"Eastern Europe","1000 No",2019,294517.249,138749.992,155767.257,88121.235,203270.474
"Eastern Europe","1000 No",2020,293723.131,138381.168,155341.963,87480.551,203295.841
"Eastern Europe","1000 No",2021,292256.938,137697.793,154559.145,86783.744,203321.191
"Eastern Europe","1000 No",2022,289050.977,136193.563,152857.413,86029.978,203341.314
"Northern Europe","1000 No",2017,104503.994,51403.849,53100.144,18843.568,85356.055
"Northern Europe","1000 No",2018,105126.422,51743.852,53382.57,18690.283,86071.298
"Northern Europe","1000 No",2019,105705.962,52066.115,53639.847,18534.763,86783.876
"Northern Europe","1000 No",2020,106124.627,52306.54,53818.087,18374.821,87488.312
"Northern Europe","1000 No",2021,106607.905,52569.996,54037.909,18210.364,88184.325
"Northern Europe","1000 No",2022,107439.461,52992.821,54446.641,18042.332,88873.719
"Southern Europe","1000 No",2017,152824.731,74374.887,78449.844,43764.375,108224.915
"Southern Europe","1000 No",2018,152754.481,74378.26,78376.221,43254.646,108605.522
"Southern Europe","1000 No",2019,152808.498,74438.797,78369.701,42739.969,108988.284
"Southern Europe","1000 No",2020,152695.534,74408.486,78287.048,42210.891,109342.163
"Southern Europe","1000 No",2021,152274.182,74223.111,78051.071,41666.997,109663.683
"Southern Europe","1000 No",2022,151975.351,74085.232,77890.119,41113.178,109966.669
"Western Europe","1000 No",2017,195005.163,95664.224,99340.939,39275.668,154154.908
"Western Europe","1000 No",2018,195780.312,96065.551,99714.761,39086.167,154986.766
"Western Europe","1000 No",2019,196471.882,96428.447,100043.436,38874.301,155789.698
"Western Europe","1000 No",2020,196980.225,96689.452,100290.773,38639.743,156557.723
"Western Europe","1000 No",2021,197473.962,96936.523,100537.439,38381.16,157284.659
"Western Europe","1000 No",2022,198498.297,97449.587,101048.71,38098.662,157972.219
"Oceania","1000 No",2017,42093.655,21101.317,20992.337,12959.749,27731.037
"Oceania","1000 No",2018,42815.157,21464.931,21350.225,13132.183,28129.029
"Oceania","1000 No",2019,43504.189,21809.04,21695.149,13300.642,28525.534
"Oceania","1000 No",2020,44078.974,22091.603,21987.372,13464.606,28919.183
"Oceania","1000 No",2021,44558.212,22327.163,22231.049,13623.859,29309.513
"Oceania","1000 No",2022,45049.35,22569.15,22480.2,13778.445,29697.36
"Australia and New Zealand","1000 No",2017,29543.79,14653.138,14890.652,4083.532,25072.847
"Australia and New Zealand","1000 No",2018,30020.553,14895.326,15125.227,4104.615,25417.23
"Australia and New Zealand","1000 No",2019,30472.117,15121.924,15350.192,4122.663,25758.382
"Australia and New Zealand","1000 No",2020,30813.686,15290.506,15523.18,4137.487,26095.11
"Australia and New Zealand","1000 No",2021,31064.114,15415.038,15649.076,4149.041,26427.011
"Australia and New Zealand","1000 No",2022,31332.719,15548.797,15783.923,4157.446,26754.708
"Melanesia","1000 No",2017,11345.197,5842.674,5502.523,8328.719,1991.787
"Melanesia","1000 No",2018,11589.594,5964.042,5625.551,8476.993,2038.813
"Melanesia","1000 No",2019,11827.647,6081.907,5745.74,8624.426,2087.503
"Melanesia","1000 No",2020,12058.242,6195.123,5863.119,8770.87,2137.864
"Melanesia","1000 No",2021,12283.281,6304.902,5978.379,8916.19,2189.948
"Melanesia","1000 No",2022,12503.827,6412.596,6091.231,9060.248,2243.878
"Micronesia","1000 No",2017,518.87,261.197,257.672,166.359,361.171
"Micronesia","1000 No",2018,518.327,260.845,257.481,166.41,365.586
"Micronesia","1000 No",2019,517.531,260.36,257.171,166.502,370.077
"Micronesia","1000 No",2020,518.843,260.916,257.928,166.601,374.606
"Micronesia","1000 No",2021,521.569,262.188,259.38,166.705,379.127
"Micronesia","1000 No",2022,523.477,263.083,260.394,166.807,383.649
"Polynesia","1000 No",2017,685.798,344.308,341.49,381.139,305.232
"Polynesia","1000 No",2018,686.684,344.718,341.966,384.165,307.4
"Polynesia","1000 No",2019,686.894,344.85,342.045,387.051,309.572
"Polynesia","1000 No",2020,688.203,345.059,343.145,389.648,311.603
"Polynesia","1000 No",2021,689.247,345.034,344.213,391.923,313.427
"Polynesia","1000 No",2022,689.327,344.674,344.653,393.944,315.125
"European Union (27)","1000 No",2017,445696.744,217683.86,228012.884,113920.167,328841.854
"European Union (27)","1000 No",2018,446503.645,218171.961,228331.685,113095.28,330028.32
"European Union (27)","1000 No",2019,447369.193,218688.185,228681.007,112223.324,331199.039
"European Union (27)","1000 No",2020,447777.539,218944.725,228832.814,111295.343,332315.464
"European Union (27)","1000 No",2021,447705.898,218934.879,228771.019,110309.723,333367.32
"European Union (27)","1000 No",2022,449113.453,219644.255,229469.198,109271.264,334369.959
"Least Developed Countries","1000 No",2017,1009200.436,500799.737,508400.698,670706.772,330695.331
"Least Developed Countries","1000 No",2018,1033320.5,512863.658,520456.841,680951.57,343885.993
"Least Developed Countries","1000 No",2019,1058226.906,525355.532,532871.375,691130.495,357519.935
"Least Developed Countries","1000 No",2020,1083853.569,538239.682,545613.887,701245.113,371609.985
"Least Developed Countries","1000 No",2021,1109397.232,551044.156,558353.076,711283.505,386163.203
"Least Developed Countries","1000 No",2022,1134811.91,563667.314,571144.596,721223.041,401180.959
"Land Locked Developing Countries","1000 No",2017,503808.947,249878.226,253930.721,350478.602,153071.815
"Land Locked Developing Countries","1000 No",2018,515439.796,255679.852,259759.944,357232.26,158000.422
"Land Locked Developing Countries","1000 No",2019,528050.258,262040.888,266009.37,363934.974,163100.729
"Land Locked Developing Countries","1000 No",2020,541140.667,268674.018,272466.649,370589.883,168382.439
"Land Locked Developing Countries","1000 No",2021,553891.685,275088.051,278803.634,377188.18,173849.463
"Land Locked Developing Countries","1000 No",2022,566128.954,281166.666,284962.289,383715.201,179503.338
"Small Island Developing States","1000 No",2017,69394.098,34743.106,34650.992,26447.086,42936.73
"Small Island Developing States","1000 No",2018,70010.844,35042.971,34967.873,26541.915,43533.683
"Small Island Developing States","1000 No",2019,70666.297,35374.443,35291.853,26631.966,44122.67
"Small Island Developing States","1000 No",2020,71178.637,35616.742,35561.895,26717.803,44702.127
"Small Island Developing States","1000 No",2021,71632.45,35821.304,35811.145,26799.247,45270.805
"Small Island Developing States","1000 No",2022,72230.332,36105.65,36124.681,26875.987,45829.387
"Low Income Food Deficit Countries","1000 No",2017,913202.055,453870.986,459331.069,596314.07,306713.346
"Low Income Food Deficit Countries","1000 No",2018,937124.772,465797.198,471327.574,607453,318249.117
"Low Income Food Deficit Countries","1000 No",2019,962272.901,478379.599,483893.302,618622.614,330312.016
"Low Income Food Deficit Countries","1000 No",2020,988102.652,491349.458,496753.195,629814.907,342918.993
"Low Income Food Deficit Countries","1000 No",2021,1013776.706,504221.466,509555.24,641020.893,356095.204
"Low Income Food Deficit Countries","1000 No",2022,1039281.637,516952.492,522329.146,652209.905,369842.635
"Net Food Importing Developing Countries","1000 No",2017,1610278.296,804244.057,806034.239,965654.043,603479.881
"Net Food Importing Developing Countries","1000 No",2018,1643058.158,820604.394,822453.764,979784.665,622464.968
"Net Food Importing Developing Countries","1000 No",2019,1676505.386,837333.534,839171.851,993704.757,641949.668
"Net Food Importing Developing Countries","1000 No",2020,1711081.717,854620.885,856460.833,1007419.153,661964.932
"Net Food Importing Developing Countries","1000 No",2021,1745883.12,871923.157,873959.964,1020907.149,682517.089
"Net Food Importing Developing Countries","1000 No",2022,1780529.299,888953.805,891575.495,1034133.661,703603.233
