"country","year","energy_supply","protein_supply","fat_supply","carbohydrate_supply","dietary_fibre_supply","calcium_supply","iron_supply","zinc_supply","magnesium_supply","phosphorus_supply","potassium_supply","thiamin_supply","riboflavin_supply","vitamin_c_supply","vitamin_a_supply_retinol_equivalents","vitamin_a_supply_retinol_activity_equivalents","copper_supply","docosahexaenoic_acid_supply","vitamin_b6_supply","eicosapentaenoic_acid_supply","selenium_supply","vitamin_b12_supply","total_saturated_fatty_acids_supply","total_monounsaturated_fatty_acids_supply","total_polyunsaturated_fatty_acids_supply"
"Brazil",2018,3275,105.1,124.4,403.2,30.1,796,15.7,14.08,438,1697,3621,1.65,1.71,148,840,676,0.02,0.05,0.03,0.03,4,0.52,0.15,0.22,0.14
"Brazil",2019,3281,101.5,132.2,388.8,28.4,809,14.9,13.48,410,1641,3515,1.52,1.73,136,860,700,0.02,0.05,0.03,0.03,4,0.51,0.14,0.21,0.13
"Brazil",2020,3252,101.4,135.1,377.3,28.7,812,15,13.41,408,1637,3530,1.53,1.74,139,872,708,0.02,0.05,0.03,0.03,4,0.49,0.14,0.21,0.13
"Brazil",2021,3299,100.7,137.2,381.4,29,800,14.9,13.38,413,1641,3512,1.55,1.72,140,859,697,0.02,0.05,0.03,0.03,4,0.5,0.14,0.21,0.13
"Brazil",2022,3305,101.3,138.7,381.5,29.2,801,15.1,13.48,414,1643,3510,1.58,1.71,141,871,709,0.02,0.05,0.03,0.03,4,0.5,0.14,0.21,0.13
"Bulgaria",2017,2812,89.6,96.2,357.1,28.9,834,14.4,11.07,400,1543,3023,1.71,1.51,102,951,751,0.02,0.06,0.03,0.03,5,0.56,0.16,0.23,0.18
"Bulgaria",2018,2871,88.7,109.3,343.2,27.7,838,13.5,10.86,383,1528,3016,1.69,1.52,108,927,723,0.02,0.06,0.03,0.03,4,0.57,0.15,0.22,0.17
"Bulgaria",2019,2870,88,117.5,329.4,25.2,841,12.7,10.74,363,1492,2926,1.63,1.51,112,983,773,0.02,0.06,0.03,0.03,4,0.55,0.15,0.22,0.17
"Bulgaria",2020,2899,85.5,126.7,319.7,24.4,851,12.2,10.47,360,1461,2848,1.57,1.47,104,932,742,0.02,0.06,0.03,0.03,4,0.55,0.15,0.22,0.17
"Bulgaria",2021,2980,91,129.3,327.8,25.5,874,12.8,11.13,377,1537,2974,1.68,1.53,112,962,780,0.02,0.06,0.03,0.03,4,0.55,0.15,0.22,0.17
"Bulgaria",2022,3054,90.4,129.8,344.5,25.1,849,12.7,11.03,370,1522,2880,1.68,1.51,105,979,795,0.02,0.06,0.03,0.03,4,0.55,0.15,0.22,0.17
"Burkina Faso",2017,2615,73.2,61.6,401.2,40.7,464,17.3,12.01,618,1482,2744,1.92,0.86,31,316,229,0.01,0.07,0.04,0.04,5,0.74,0.18,0.28,0.18
"Burkina Faso",2018,2653,75.9,62,404.1,43.9,493,18.6,12.72,657,1555,2885,1.99,0.89,30,317,231,0.01,0.07,0.04,0.04,5,0.78,0.19,0.29,0.19
"Burkina Faso",2019,2627,93.4,61.5,386,56.4,755,24.9,14.9,744,1760,4017,2.2,1.12,310,839,527,0.01,0.08,0.04,0.05,5,0.83,0.2,0.3,0.2
"Burkina Faso",2020,2678,93.4,67.9,384.9,55.8,737,24.7,14.84,744,1767,3949,2.22,1.1,269,777,483,0.01,0.09,0.05,0.05,6,0.93,0.22,0.33,0.22
"Burkina Faso",2021,2652,88.8,58.3,403,54.9,708,24.1,14.15,735,1728,3768,2.14,1.08,271,748,457,0.01,0.09,0.05,0.05,6,0.98,0.23,0.35,0.23
"Burkina Faso",2022,2676,93.4,59.2,402,57.5,732,24.9,14.75,761,1788,4093,2.21,1.11,275,752,458,0.01,0.09,0.05,0.05,6,0.98,0.23,0.35,0.23
"Burundi",2017,1735,41.2,14.6,328.8,48.2,465,15.1,10.26,423,843,4015,1.36,0.65,242,1173,610,0,0.02,0.01,0.01,1,0.2,0.06,0.1,0.06
"Burundi",2018,1786,38.9,14.5,344.1,47.1,453,14.4,10.07,421,818,4006,1.33,0.64,247,1189,618,0,0.02,0.01,0.01,1,0.2,0.06,0.1,0.06
"Burundi",2019,1780,40.9,16.1,336.6,48.1,459,15.1,10.33,421,849,4127,1.38,0.64,246,1262,654,0,0.02,0.01,0.01,1,0.22,0.07,0.11,0.06
"Burundi",2020,1770,40.4,15.7,335.6,47.9,458,14.9,10.21,420,843,4126,1.37,0.64,246,1297,669,0,0.02,0.01,0.02,1,0.23,0.07,0.11,0.06
"Burundi",2021,1772,40.3,16.1,335.8,47.7,458,14.9,10.15,418,840,4090,1.36,0.64,242,1278,660,0,0.02,0.01,0.01,1,0.22,0.06,0.11,0.06
"Burundi",2022,1755,40.3,15.9,331.9,47.5,453,14.9,10.12,416,835,4082,1.35,0.63,241,1257,650,0,0.02,0.01,0.01,1,0.22,0.06,0.11,0.06
"Cabo Verde",2017,2558,77.7,65.7,386.2,31.4,707,15,11.01,416,1473,3129,1.69,1.51,107,907,599,0.02,0.05,0.03,0.03,5,0.59,0.13,0.18,0.12
"Cabo Verde",2018,2592,78.3,69.9,384.3,33,720,15.9,11.14,427,1504,3192,1.74,1.52,115,949,616,0.02,0.05,0.03,0.03,5,0.58,0.13,0.18,0.12
"Cabo Verde",2019,2599,78.6,67,392,31.8,720,15.7,11.16,419,1502,3096,1.73,1.5,104,925,607,0.02,0.05,0.03,0.03,5,0.57,0.13,0.18,0.13
"Cabo Verde",2020,2653,78.3,75.8,387,31.9,698,15.7,10.96,417,1485,3039,1.72,1.46,94,927,601,0.02,0.05,0.03,0.03,5,0.57,0.13,0.18,0.13
"Cabo Verde",2021,2637,76.7,67.3,405.3,31.4,699,15.5,10.83,409,1467,2944,1.74,1.44,95,953,616,0.02,0.05,0.03,0.03,5,0.57,0.13,0.18,0.13
"Cabo Verde",2022,2642,77.7,70.3,399.2,30.8,690,15.7,11.11,407,1465,2930,1.72,1.47,94,874,575,0.02,0.05,0.03,0.03,5,0.57,0.13,0.18,0.13
"Cambodia",2017,2716,62.5,35.9,510.6,30.1,612,14.3,10.84,370,1182,2575,1.4,0.83,112,694,431,0.1,0.32,0.19,0.19,23,3.26,0.99,1.55,0.97
"Cambodia",2018,2717,63.3,37.1,507.3,29.9,624,14.4,10.92,372,1200,2587,1.41,0.84,107,690,431,0.1,0.33,0.2,0.2,23,3.33,1.03,1.6,1.01
"Cambodia",2019,2763,62.4,34.9,518.9,29.9,581,14.2,10.85,372,1178,2506,1.35,0.82,103,669,420,0.1,0.33,0.2,0.2,24,3.36,1.02,1.59,1.01
"Cambodia",2020,2776,62.4,38,513.4,29.5,591,14.1,10.78,370,1183,2513,1.35,0.84,103,702,448,0.1,0.34,0.2,0.21,24,3.45,1.06,1.65,1.05
"Cambodia",2021,2757,62.2,36,514,28.5,553,13.6,10.51,358,1165,2477,1.33,0.83,101,707,454,0.09,0.33,0.19,0.19,24,3.18,1.01,1.57,0.98
"Cambodia",2022,2725,61.7,35.3,509.6,28,549,13.5,10.45,351,1157,2444,1.32,0.83,99,733,486,0.09,0.33,0.19,0.19,24,3.18,1.01,1.57,0.98
"Cameroon",2017,2731,72.5,58.5,437,55.2,535,19.8,13.25,626,1436,4819,1.94,1,208,1010,553,0.04,0.14,0.08,0.08,11,1.46,0.35,0.54,0.35
"Cameroon",2018,2763,73.1,57.7,446.5,55.5,535,19.9,13.4,628,1450,4813,1.95,1.01,208,1001,549,0.04,0.16,0.09,0.09,13,1.68,0.4,0.6,0.39
"Cameroon",2019,2817,72.5,58.2,455.7,55.6,530,20,13.35,628,1440,4889,1.96,1,204,1009,551,0.04,0.14,0.08,0.08,11,1.43,0.35,0.54,0.35
"Cameroon",2020,2813,71.9,64.8,447.4,54.9,514,19.6,13.63,617,1411,4687,1.96,0.98,206,965,531,0.04,0.14,0.08,0.08,11,1.43,0.35,0.54,0.35
"Cameroon",2021,2838,72.2,59.9,462.6,54.2,516,19.6,13.65,599,1406,4648,1.92,0.99,204,987,554,0.04,0.14,0.08,0.08,11,1.43,0.35,0.54,0.35
"Cameroon",2022,2843,71.5,58.6,468,54,505,19.3,13.57,594,1393,4649,1.91,0.96,206,989,551,0.04,0.14,0.08,0.08,11,1.43,0.35,0.54,0.35
"Canada",2017,3593,114.1,160.1,388,35.6,896,18.3,14.85,471,1834,4197,1.9,1.65,138,955,660,0.07,0.1,0.07,0.06,12,1.38,0.29,0.42,0.32
"Canada",2018,3599,117.6,158.9,389.6,34.5,1033,17.8,15.12,477,1927,4297,1.88,1.84,139,980,693,0.07,0.11,0.07,0.07,12,1.43,0.32,0.46,0.35
"Canada",2019,3581,116.1,156.8,392.6,34.1,1017,17.6,15.01,475,1902,4175,1.9,1.81,134,964,679,0.06,0.1,0.06,0.06,11,1.28,0.29,0.42,0.33
"Canada",2020,3625,115.6,160.1,395.9,34,1035,17.6,14.99,479,1906,4136,1.86,1.83,130,971,681,0.06,0.1,0.06,0.06,11,1.28,0.29,0.42,0.33
"Canada",2021,3578,113.1,158.6,391.2,33.5,1017,17.2,14.56,471,1863,4217,1.83,1.82,134,972,685,0.06,0.1,0.06,0.06,11,1.28,0.29,0.42,0.33
"Canada",2022,3607,115.9,160.6,391.7,34.6,1019,17.7,14.98,477,1901,4192,1.87,1.83,128,948,674,0.06,0.1,0.06,0.06,11,1.28,0.29,0.42,0.33
"Central African Republic",2017,2258,61.5,93.6,270.2,39,655,16.3,12.57,507,1202,3480,1.59,0.79,112,529,385,0.01,0.06,0.03,0.03,3,0.49,0.16,0.28,0.17
"Central African Republic",2018,2274,61.7,92.7,275.6,40.1,655,16.4,12.51,515,1209,3531,1.59,0.8,111,523,380,0.01,0.05,0.03,0.03,3,0.44,0.15,0.26,0.16
"Central African Republic",2019,2280,63.2,93.1,273.5,41.7,655,16.6,12.61,524,1225,3595,1.61,0.81,111,532,388,0.01,0.06,0.04,0.04,3,0.51,0.17,0.29,0.18
"Central African Republic",2020,2267,66.4,92,269.8,41.2,622,16.3,12.55,526,1250,3580,1.62,0.83,99,514,376,0.01,0.05,0.03,0.03,3,0.44,0.15,0.26,0.16
"Central African Republic",2021,2248,63.4,88.3,270.7,41,618,16.2,12.35,523,1222,3545,1.59,0.81,99,517,381,0.01,0.05,0.03,0.03,3,0.45,0.16,0.27,0.17
"Central African Republic",2022,2224,63.8,88.9,268.6,40.9,629,16.4,12.38,518,1227,3517,1.62,0.84,111,618,482,0.01,0.05,0.03,0.03,3,0.45,0.16,0.27,0.17
"Chad",2017,2340,80.4,70.5,325.7,38.2,561,20.4,14.28,582,1523,2585,1.52,0.91,53,726,630,0.01,0.06,0.03,0.04,3,0.42,0.17,0.32,0.19
"Chad",2018,2316,79.9,70.3,320.9,37.7,560,20.3,14.21,578,1511,2570,1.5,0.91,52,741,642,0.01,0.06,0.03,0.03,3,0.41,0.16,0.31,0.18
"Chad",2019,2295,79.5,70.9,315.1,36.8,555,20,14.09,570,1498,2515,1.48,0.93,50,737,644,0.01,0.06,0.03,0.03,3,0.41,0.16,0.3,0.18
"Chad",2020,2253,79.1,71.5,304.4,35.8,552,19.7,13.94,557,1476,2485,1.45,0.94,48,741,653,0.01,0.05,0.03,0.03,2,0.38,0.15,0.28,0.17
"Chad",2021,2191,76.6,70.7,293.8,33.3,524,18.7,13.43,525,1411,2382,1.38,0.91,47,738,657,0.01,0.05,0.03,0.03,2,0.36,0.14,0.27,0.16
"Chad",2022,2184,77.4,72.2,288.2,33.2,545,18.9,13.64,528,1421,2386,1.38,0.92,47,760,677,0.01,0.05,0.03,0.03,2,0.36,0.14,0.27,0.16
"Chile",2017,2986,102,84.7,418.7,31.8,653,15,13.16,409,1637,3319,1.79,1.38,87,651,461,0.04,0.09,0.05,0.05,8,0.98,0.23,0.31,0.28
"Chile",2018,3021,104.4,84.8,422.9,32.4,672,15.3,13.52,418,1671,3320,1.81,1.39,81,661,469,0.04,0.08,0.05,0.05,8,0.94,0.21,0.29,0.25
"Chile",2019,3047,104.5,90,415.3,32.9,677,15.5,13.57,420,1680,3330,1.8,1.42,80,728,528,0.04,0.08,0.05,0.05,8,0.96,0.22,0.3,0.26
"Chile",2020,3091,104.9,93.8,419.1,33.8,722,15.9,13.7,421,1702,3390,1.82,1.49,83,732,535,0.04,0.08,0.05,0.05,8,0.96,0.22,0.3,0.26
"Chile",2021,3131,105.4,99.3,409.3,30.9,718,15.4,13.76,408,1696,3187,1.78,1.45,76,678,508,0.04,0.08,0.05,0.05,8,0.96,0.22,0.3,0.26
"Chile",2022,3106,101.7,97.3,412.5,30.9,672,15.3,13.24,409,1652,3145,1.78,1.43,85,698,510,0.04,0.08,0.05,0.05,8,0.96,0.22,0.3,0.26
"China, Hong Kong SAR",2017,3150,147.8,124.6,335.2,28.5,1090,26,18.79,469,2263,4284,2.4,3.31,206,3367,2995,0.27,0.27,0.19,0.17,34,4.28,0.74,1.08,0.8
"China, Hong Kong SAR",2018,3178,141.9,129.7,336.2,28.4,1092,24.8,18.2,463,2212,4252,2.35,3.17,200,3030,2662,0.3,0.27,0.19,0.17,36,4.44,0.74,1.06,0.8
"China, Hong Kong SAR",2019,3191,148.7,130.4,331.6,30.2,1064,26.8,18.75,461,2260,4432,2.4,3.3,203,2986,2593,0.27,0.27,0.19,0.17,34,4.2,0.75,1.09,0.8
"China, Hong Kong SAR",2020,3099,144.2,128.5,316.8,30.9,1044,25.5,18.18,464,2185,4401,2.36,3.09,205,2949,2526,0.27,0.27,0.19,0.17,34,4.2,0.75,1.09,0.8
"China, Hong Kong SAR",2021,3043,140.3,125.3,313.2,32.1,1138,26.1,17.82,471,2243,4503,2.51,3.16,205,2851,2406,0.27,0.27,0.19,0.17,34,4.2,0.75,1.09,0.8
"China, Hong Kong SAR",2022,2996,126.8,124.1,318.5,31.7,1113,22.7,15.93,464,2126,4246,2.46,2.77,170,1914,1506,0.27,0.27,0.19,0.17,34,4.2,0.75,1.09,0.8
"China, Macao SAR",2017,3200,123.8,143.8,324.7,23.7,17920,27.4,16.54,8806,2038,7924,2.65,2.67,160,1640,1238,0.27,0.27,0.19,0.17,33,4.3,0.77,1.11,0.81
"China, Macao SAR",2018,3210,123,146,324.8,23.7,18172,26.6,16.39,8942,2019,7971,2.61,2.62,154,1658,1245,0.3,0.28,0.19,0.18,36,4.67,0.79,1.13,0.84
"China, Macao SAR",2019,3194,118.3,139.2,336.9,29.8,6486,25.4,15.79,3131,1990,5708,2.56,2.46,238,1732,1116,0.33,0.29,0.2,0.18,37,5.24,0.81,1.16,0.86
"China, Macao SAR",2020,2936,112.2,122.4,320.3,23.4,961,19.8,14.29,431,1812,3501,2.23,2.06,161,1314,943,0.33,0.29,0.2,0.18,37,5.24,0.81,1.16,0.86
"China, Macao SAR",2021,2956,117.5,123.7,314.8,23.6,915,20.3,14.78,408,1877,3577,2.25,2.13,164,1383,1015,0.33,0.29,0.2,0.18,37,5.24,0.81,1.16,0.86
"China, Macao SAR",2022,2942,115.3,121.2,316.2,23.1,883,19.5,14.48,404,1846,3506,2.18,2.06,155,1347,987,0.33,0.29,0.2,0.18,37,5.24,0.81,1.16,0.86
"China, mainland",2017,3262,118.8,87.9,447.8,67.3,962,30.5,19.07,884,2305,6172,2.98,2.1,303,2426,1390,0.19,0.18,0.13,0.12,19,3.66,0.58,0.83,0.57
"China, mainland",2018,3279,120,88.7,449.2,68.2,977,30.8,19.28,895,2326,6267,2.99,2.12,309,2467,1409,0.19,0.18,0.13,0.12,19,3.68,0.58,0.83,0.57
"China, mainland",2019,3307,121.3,90.3,449.8,70.3,975,31,19.61,897,2359,6353,3,2.22,299,2380,1366,0.21,0.18,0.13,0.12,20,3.77,0.59,0.84,0.58
"China, mainland",2020,3326,122.2,89.6,455.7,71.6,987,31.6,19.84,912,2391,6414,2.97,2.26,302,2390,1380,0.21,0.18,0.14,0.13,21,3.84,0.6,0.84,0.59
"China, mainland",2021,3405,126,94.6,459.4,72.7,1017,32.2,20.33,926,2443,6594,3.07,2.33,309,2470,1430,0.22,0.18,0.14,0.13,21,3.92,0.6,0.84,0.59
"China, mainland",2022,3452,128.4,94.6,469.3,74.1,1015,32.7,20.78,939,2486,6682,3.15,2.36,312,2482,1436,0.22,0.18,0.14,0.13,21,3.92,0.6,0.84,0.59
"China, Taiwan Province of",2017,2892,92.4,122.8,326.4,27.7,667,15.7,12,390,1406,3110,1.78,1.34,167,1063,655,0.18,0.13,0.09,0.08,17,2.54,0.36,0.5,0.39
"China, Taiwan Province of",2018,2920,96.1,125.7,324.4,28,695,16.2,12.34,405,1451,3200,1.81,1.37,161,1067,662,0.17,0.13,0.09,0.08,17,2.43,0.37,0.51,0.39
"China, Taiwan Province of",2019,2932,96.1,127.2,325.4,26.7,671,15.8,12.31,393,1436,3079,1.76,1.35,160,1036,648,0.15,0.14,0.09,0.09,17,2.38,0.38,0.54,0.4
"China, Taiwan Province of",2020,2952,99.3,131.3,318.5,27,682,16.2,12.73,399,1471,3205,1.77,1.41,168,1105,714,0.15,0.14,0.09,0.09,17,2.38,0.38,0.54,0.4
"China, Taiwan Province of",2021,2916,97.1,130.5,312.7,27.3,684,16,12.35,402,1455,3200,1.76,1.38,162,1048,665,0.15,0.14,0.09,0.09,17,2.38,0.38,0.54,0.4
"China, Taiwan Province of",2022,2957,100.3,132.8,313.5,28.3,702,16.5,12.73,417,1501,3308,1.82,1.41,164,1039,657,0.15,0.14,0.09,0.09,17,2.38,0.38,0.54,0.4
"Colombia",2017,3038,78.1,96.5,436.9,29.5,661,14.4,10.87,377,1349,3514,1.38,1.39,192,754,586,0.01,0.06,0.04,0.04,4,0.57,0.18,0.26,0.2
"Colombia",2018,3072,80,95.8,443.8,31,676,14.9,11.14,396,1384,3713,1.43,1.44,198,781,598,0.02,0.07,0.04,0.04,5,0.63,0.19,0.28,0.22
"Colombia",2019,3046,81.4,93.7,441.8,32.3,669,14.8,11.21,401,1396,3778,1.48,1.44,216,794,590,0.02,0.07,0.04,0.04,5,0.7,0.21,0.31,0.24
"Colombia",2020,3086,80.4,102.3,433.9,32.2,678,14.7,11.16,395,1400,3682,1.45,1.45,214,765,575,0.02,0.07,0.04,0.04,5,0.7,0.21,0.31,0.24
"Colombia",2021,3091,80.3,106,424.4,32.2,675,14.5,10.98,395,1395,3704,1.47,1.47,230,759,574,0.02,0.07,0.04,0.04,5,0.7,0.21,0.31,0.24
"Colombia",2022,3113,81.1,100.5,440.5,32.3,693,14.8,11.07,406,1411,3801,1.48,1.48,222,749,561,0.02,0.07,0.04,0.04,5,0.7,0.21,0.31,0.24
"Comoros",2017,2483,64.5,67.5,386.8,33.9,402,13.4,10.94,396,1085,2916,1.39,0.75,115,450,312,0.02,0.13,0.08,0.07,11,1.39,0.33,0.44,0.34
"Comoros",2018,2474,62.2,64.8,393.5,33,411,12.7,10.59,389,1077,2844,1.42,0.75,111,396,259,0.02,0.12,0.08,0.07,10,1.28,0.32,0.42,0.33
"Comoros",2019,2489,61.4,63.2,401.9,31.8,388,15,11.1,372,1068,2838,1.35,1.09,117,2034,1890,0.02,0.15,0.09,0.09,13,1.57,0.4,0.54,0.44
"Comoros",2020,2485,66.5,56.2,408.8,37.8,445,13.9,10.42,437,1143,3509,1.36,0.83,118,577,388,0.02,0.16,0.1,0.09,14,1.71,0.42,0.56,0.45
"Comoros",2021,2438,65.9,58.2,392.8,37.6,471,13.7,10.24,433,1136,3490,1.32,0.84,113,539,359,0.02,0.15,0.09,0.08,12,1.59,0.38,0.5,0.39
"Comoros",2022,2417,65.9,54.8,395.7,36.9,433,13.5,10.19,438,1137,3396,1.35,0.8,107,430,270,0.02,0.15,0.09,0.08,12,1.59,0.38,0.5,0.39
"Congo",2017,2125,53.2,48.3,344.2,30.5,389,12.1,8.7,298,851,2588,1.19,0.81,151,650,432,0.03,0.2,0.12,0.12,15,1.96,0.54,0.86,0.55
"Congo",2018,2112,53.4,45.3,345,30.5,388,12.1,8.67,300,855,2577,1.19,0.82,149,660,444,0.03,0.19,0.12,0.11,15,1.85,0.51,0.82,0.52
"Congo",2019,2128,51.9,53.3,332.8,30.2,370,12.1,8.55,296,834,2528,1.18,0.79,145,674,466,0.03,0.16,0.1,0.09,12,1.59,0.43,0.68,0.43
"Congo",2020,2179,51.7,57.9,337.1,29,323,11,8.52,287,838,2452,1.16,0.73,138,514,386,0.03,0.15,0.09,0.09,12,1.51,0.41,0.65,0.41
"Congo",2021,2196,55.4,57.5,337.3,29.2,324,11.6,8.85,297,881,2492,1.2,0.75,136,538,412,0.03,0.16,0.1,0.09,12,1.55,0.42,0.67,0.41
"Congo",2022,2191,57,55.3,339.1,28.7,322,11.7,8.93,298,894,2508,1.19,0.79,132,587,463,0.03,0.16,0.1,0.09,12,1.55,0.42,0.67,0.41
"Costa Rica",2017,3007,81.1,110.6,395.4,25.5,835,12.2,10.4,355,1435,3126,1.3,1.57,137,714,545,0.05,0.17,0.1,0.1,13,1.41,0.49,0.72,0.68
"Costa Rica",2018,3003,82.6,107.9,399.1,25.6,843,12.4,10.65,363,1461,3169,1.33,1.6,156,717,547,0.05,0.16,0.09,0.1,12,1.35,0.47,0.69,0.64
"Costa Rica",2019,3020,87.8,108.4,396.6,23.5,819,12.1,10.92,347,1485,2943,1.32,1.56,125,648,521,0.05,0.16,0.09,0.1,13,1.35,0.47,0.69,0.65
"Costa Rica",2020,3025,87.2,109,391.9,23.9,844,12.1,10.92,351,1503,2978,1.31,1.58,142,679,549,0.05,0.16,0.09,0.1,13,1.35,0.47,0.69,0.65
"Costa Rica",2021,2987,86.4,112.1,375.2,22.7,851,11.9,10.79,345,1498,2935,1.28,1.6,112,675,550,0.05,0.16,0.09,0.1,13,1.35,0.47,0.69,0.65
"Costa Rica",2022,2943,87.2,106.4,376.1,24,872,12.1,10.88,355,1513,3085,1.31,1.63,143,685,552,0.05,0.16,0.09,0.1,13,1.35,0.47,0.69,0.65
"Côte d'Ivoire",2017,2761,62.9,49.7,486,51.8,353,15.9,12.84,481,1250,4862,1.9,0.86,193,714,477,0.03,0.16,0.1,0.09,13,1.86,0.42,0.56,0.38
"Côte d'Ivoire",2018,2780,62.4,49.2,492.2,51.6,355,16,12.8,474,1238,4861,1.86,0.86,194,717,481,0.03,0.18,0.11,0.1,14,2.04,0.46,0.62,0.42
"Côte d'Ivoire",2019,2837,63.6,53.8,494.9,52.3,361,16,13.01,478,1246,4924,1.9,0.89,200,748,498,0.03,0.18,0.11,0.1,14,2,0.46,0.62,0.42
"Côte d'Ivoire",2020,2892,65.7,53.1,506.5,54.9,378,17.3,13.59,496,1275,5080,1.94,0.97,210,913,594,0.03,0.18,0.11,0.1,14,2,0.46,0.62,0.42
"Côte d'Ivoire",2021,2942,67.2,58.2,504.4,56.4,387,18.3,14.01,556,1401,5157,2.11,1.03,204,1017,653,0.03,0.18,0.11,0.1,14,2,0.46,0.62,0.42
"Côte d'Ivoire",2022,2956,67.1,57.4,510.3,56.9,385,18.6,14.1,560,1399,5214,2.09,1.03,203,1013,656,0.03,0.18,0.11,0.1,14,2,0.46,0.62,0.42
"Croatia",2017,3089,97.5,112.6,379.5,26,1023,14.1,12.47,387,1693,3409,1.72,1.92,113,1187,968,0.09,0.12,0.07,0.06,12,1.48,0.29,0.38,0.31
"Croatia",2018,3144,100.2,114.3,385.9,26.9,1028,14.2,12.75,399,1736,3600,1.76,1.96,123,1233,1012,0.1,0.12,0.08,0.07,13,1.55,0.3,0.4,0.33
"Croatia",2019,3183,103,120.2,377.5,26.3,1048,14.1,13.04,400,1774,3554,1.81,2,117,1251,1028,0.1,0.13,0.08,0.07,13,1.56,0.31,0.41,0.35
"Croatia",2020,3218,102.4,121,387.4,27.4,1037,14.1,12.94,409,1778,3639,1.8,2,120,1202,979,0.07,0.13,0.08,0.07,12,1.48,0.33,0.44,0.36
"Croatia",2021,3270,108,133.2,366.4,26,1049,14.3,13.4,403,1808,3551,1.88,2.03,116,1219,1003,0.09,0.12,0.08,0.07,13,1.55,0.3,0.39,0.32
"Croatia",2022,3316,108.2,136.8,371.1,26.4,1058,14.5,13.44,402,1809,3633,1.86,2.03,119,1285,1044,0.09,0.12,0.08,0.07,13,1.55,0.3,0.39,0.32
"Cuba",2017,3437,96.7,71.1,562.3,46.3,736,18.7,14.24,532,1614,4753,2.01,1.47,302,1367,836,0.01,0.04,0.02,0.02,3,0.4,0.11,0.16,0.12
"Cuba",2018,3385,95.5,70.9,551.7,44.5,725,18.2,14.05,514,1586,4633,1.94,1.46,287,1340,831,0.01,0.04,0.03,0.02,3,0.45,0.12,0.17,0.13
"Cuba",2019,3424,94.1,75.8,546.4,43.1,718,17.9,13.82,505,1564,4539,1.96,1.48,289,1462,951,0.01,0.04,0.03,0.03,4,0.47,0.12,0.17,0.13
"Cuba",2020,3379,96.5,81.8,524.7,39.8,668,17.2,13.55,480,1534,4180,1.89,1.4,244,1370,891,0.01,0.04,0.03,0.03,4,0.47,0.12,0.17,0.13
"Cuba",2021,3328,89.2,79.3,521.2,41.6,687,17.9,13.21,491,1441,4210,1.82,1.36,281,1619,969,0.01,0.04,0.03,0.03,4,0.47,0.12,0.17,0.13
"Cuba",2022,3270,87.6,74.8,518.4,40.3,628,17.1,13.12,469,1424,4093,1.8,1.35,278,1641,1083,0.01,0.04,0.03,0.03,4,0.47,0.12,0.17,0.13
"Cyprus",2017,2965,98.7,110.6,357.7,30.6,888,16.7,12.34,425,1715,3175,1.96,1.9,85,802,608,0.15,0.12,0.08,0.07,14,1.58,0.31,0.45,0.39
"Cyprus",2018,2977,97.7,107.3,368.2,31.6,837,17.2,12.31,431,1685,3259,1.98,1.85,94,817,618,0.13,0.12,0.07,0.07,13,1.46,0.31,0.45,0.4
"Cyprus",2019,3041,105.7,115.8,357.7,29.2,1122,16.9,13,444,1926,3449,2.08,2.29,80,849,655,0.14,0.12,0.08,0.07,14,1.55,0.33,0.49,0.42
"Cyprus",2020,3028,102.9,111.3,372.3,30.1,1131,16.9,12.83,449,1903,3451,2.06,2.28,86,835,632,0.1,0.11,0.07,0.06,12,1.25,0.29,0.42,0.37
"Cyprus",2021,3036,103.4,116,362.2,28.9,1190,16.8,12.79,446,1942,3566,2.05,2.39,87,865,662,0.1,0.1,0.06,0.06,12,1.23,0.25,0.37,0.32
"Cyprus",2022,3038,101.5,115.3,363.2,28.2,1185,16.9,12.81,448,1949,3548,2.01,2.41,87,835,642,0.1,0.1,0.06,0.06,12,1.23,0.25,0.37,0.32
"Czechia",2017,3302,95.3,142.6,341.8,25,961,13.3,11.72,369,1621,3404,1.69,1.69,132,1016,760,0.01,0.07,0.04,0.04,5,0.53,0.18,0.29,0.23
"Czechia",2018,3305,95.4,146.9,330.5,24.7,930,13.3,11.67,361,1608,3319,1.7,1.67,128,996,759,0.01,0.07,0.04,0.04,5,0.55,0.19,0.3,0.24
"Czechia",2019,3344,95.4,152.6,327.8,24.1,958,12.9,11.72,357,1625,3225,1.71,1.68,114,999,787,0.01,0.08,0.04,0.04,6,0.56,0.2,0.32,0.26
"Czechia",2020,3358,95.8,154.6,328.3,24.5,962,13,11.8,357,1619,3200,1.68,1.66,115,1094,871,0.01,0.07,0.04,0.04,5,0.56,0.2,0.31,0.26
"Czechia",2021,3387,96.8,159.3,324.3,24,983,12.8,11.84,353,1632,3201,1.7,1.7,113,1092,864,0.02,0.07,0.04,0.04,5,0.56,0.19,0.31,0.25
"Czechia",2022,3425,97.7,161.6,325.5,24.7,979,13,11.99,358,1644,3187,1.72,1.66,111,1062,844,0.02,0.07,0.04,0.04,5,0.56,0.19,0.31,0.25
"Democratic People's Republic of Korea",2017,2065,59.1,34.5,346.9,36.2,523,15.9,9.32,417,1088,3043,1.4,0.9,213,1164,613,0.03,0.08,0.04,0.05,7,0.82,0.2,0.32,0.19
